event_name,event_dates,company_name,company_short_name,company_name_eng,products,country,country_codes,city,address,stand,pavilion,rubrics,rubrics_eng,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,request_id,alpha_filter,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version,short_name_check,products_check,qa_notes,signo_status,repeat_reason,matched_crm_email,matched_crm_domain,matched_crm_company,candidate_emails,candidate_top_domains,source_sheet,source_removed_reason,website_email_status,website_email_source_url,website_email_notes,main email,main_email_reason
Агросалон 2026,6–9 октября 2026,АГМ ПАРТС,АГМ ПАРТС,AGM PARTS,уборочная техника и жатки; кормозаготовительная техника; погрузочная и транспортная техника; запчасти и комплектующие для сельхозтехники; сельскохозяйственная техника и оборудование,Россия,RUS,,,B8.54,,Снабжение запасными частями,Spare parts supply,"Компания «АГМ Партс» - является крупнейшим поставщиком запасных частей для сельскохозяйственной техники всемирно-известных производителей. ВЫСОКОКАЧЕСТВЕННЫЕ РЕЖУЩИЕ ЭЛЕМЕНТЫ, А ТАКЖЕ КРУПНЫЕ КОРПУСНЫЕ ЗАПЧАСТИ ДЛЯ: * Жаток * Зерноуборочных комбайнов * Кормоуборочных комбайнов * Дисковых косилок * Измельчителей грубых кормов * Кормосмесителей * Пресс-подборщиков * Самозагружающихся прицепов",,https://oooagm.ru/,office.agm@mail.ru,+7-910-318-60-25; +7(4712)31-06-60,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33763,33763,2937,keep,"АГМ ПАРТС | Россия | Снабжение запасными частями | Компания «АГМ Партс» - является крупнейшим поставщиком запасных частей для сельскохозяйственной техники всемирно-известных производителей. ВЫСОКОКАЧЕСТВЕННЫЕ РЕЖУЩИЕ ЭЛЕМЕНТЫ, А ТАКЖЕ КРУПНЫЕ КОРПУСНЫЕ ЗАПЧАСТИ ДЛЯ: * Жаток * Зерноуборочных комбайнов * Кормоуб",parsed,,2026-09-21T05:10:19Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,repeat,company-owned domain matched current Twenty repeat index,,oooagm.ru,АГМ Партс,office.agm@mail.ru,oooagm.ru,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,office.agm@mail.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,АГРИ ПАРТС РУС,АГРИ ПАРТС РУС,AGRI PARTS RUS,барабанные комбайны; жатки комбайнов,Россия,RUS,,,B8.84,,Барабанные комбайны; Жатки комбайнов,Drum harvesters; Combine headers,Запасные части для сельскохозяйственной и специальной техники,,https://www.agriparts.su,info@agriparts.su,+74953239557,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33800,33800,3036,keep,АГРИ ПАРТС РУС | Россия | Барабанные комбайны; Жатки комбайнов | Запасные части для сельскохозяйственной и специальной техники,parsed,,2026-09-21T05:10:20Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,new,,,,,info@agriparts.su,agriparts.su,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,info@agriparts.su,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,АГРО-ЛАДА.РУ,АГРО-ЛАДА.РУ,AGRO-LADA.RU,"другое из группы «комплектующие, запасные части, принадлежности»",Россия,RUS,,,B7.10,,"Другое из группы «Комплектующие, запасные части, принадлежности»","Others from the group ""Components, spare parts, accessories""",Производство высевающих дисков и вакуумных уплотнителей для всех типов пропашных сеялок.,,https://AGRO-LADA.RU,info@agro-lada.ru,+79286173909,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=34040,34040,3952,keep,"АГРО-ЛАДА.РУ | Россия | Другое из группы «Комплектующие, запасные части, принадлежности» | Производство высевающих дисков и вакуумных уплотнителей для всех типов пропашных сеялок.",parsed,,2026-09-21T05:10:20Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,new,,,,,info@agro-lada.ru,agro-lada.ru,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,info@agro-lada.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,АГРОТЭК,АГРОТЭК,AGROTEK,"другое из группы «комплектующие, запасные части, принадлежности»",Россия,RUS,,,C7.61,,"Другое из группы «Комплектующие, запасные части, принадлежности»","Others from the group ""Components, spare parts, accessories""","АГРОТЭК — бренд автозапчастей для тракторной техники, основанный в 2020 году.",,,,,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33910,33910,3335,keep,"АГРОТЭК | Россия | Другое из группы «Комплектующие, запасные части, принадлежности» | АГРОТЭК — бренд автозапчастей для тракторной техники, основанный в 2020 году.",parsed,,2026-09-21T05:10:20Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,new,,,,,,,official_forms_api,,not_attempted,,,,no public email
Агросалон 2026,6–9 октября 2026,АКМАШ-ХОЛДИНГ,АКМАШ-ХОЛДИНГ,AKMASH-HOLDING,уборочная техника и жатки; погрузочная и транспортная техника; запчасти и комплектующие для сельхозтехники,Россия,RUS,,,C8.40,,Снабжение запасными частями,Spare parts supply,"АКМАШ-ХОЛДИНГ — это производство промышленных цепей, звездочек и других комплектующих. Транспортеры наклонных камер, зерновых и колосовых элеваторов комбайнов. Усиленные приводные цепи AKMASH PRO.",,http://www.akmash.ru,info@akmash.ru,+7 8332 50-00-00,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33924,33924,3359,keep,"АКМАШ-ХОЛДИНГ | Россия | Снабжение запасными частями | АКМАШ-ХОЛДИНГ — это производство промышленных цепей, звездочек и других комплектующих. Транспортеры наклонных камер, зерновых и колосовых элеваторов комбайнов. Усиленные приводные цепи AKMASH PRO.",parsed,,2026-09-21T05:10:20Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,repeat,company-owned domain matched current Twenty repeat index,,akmash.ru,Акмаш-Холдинг,info@akmash.ru,akmash.ru,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,info@akmash.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,АКСАЙКАРДАНДЕТАЛЬ,АКСАЙКАРДАНДЕТАЛЬ,Aksaycardandetal,жатки прицепные; жатки навесные,Россия,RUS,,,C7.52,,Жатки прицепные; Жатки навесные,Trailed headers; Mounted reapers,Производите жаток и карданных валов,,https://new.kardandetal.ru,79885407883@akard.ru,89885407883,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33866,33866,3228,keep,АКСАЙКАРДАНДЕТАЛЬ | Россия | Жатки прицепные; Жатки навесные | Производите жаток и карданных валов,parsed,,2026-09-21T05:10:20Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,repeat,company-owned domain matched current Twenty repeat index,,akard.ru,Аксайкардандеталь,79885407883@akard.ru,akard.ru; kardandetal.ru,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,79885407883@akard.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,АЛМАЗ (АНИТИМ),АЛМАЗ (АНИТИМ),ALMAZ (ANITIM),комбинированные почвообрабатывающие агрегаты,Россия,RUS,,,B5.31,,Зубовые бороны; Комбинированные почвообрабатывающие агрегаты,Field and crop harrows; Combined tillage implements,"АНИТИМ входит в состав заводов АЛМАЗ. Специализируется на проектировании и изготовлении почвообрабатывающей техники: тяжелых дисковых борон, культиваторов, мульчировщиков, сцепок, комбинированных орудий и катков; запчастей, упрочненных методом термоконтактного плакирования. Техника изготовлена из комплектующих собственного производства, имеет 2 года гарантии и обеспечена сервисным сопровождением в течение всего срока службы.",,https://almaztd.ru,almaztd@almaztd.ru,+73852503703,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33942,33942,3393,keep,"АЛМАЗ (АНИТИМ) | Россия | Зубовые бороны; Комбинированные почвообрабатывающие агрегаты | АНИТИМ входит в состав заводов АЛМАЗ. Специализируется на проектировании и изготовлении почвообрабатывающей техники: тяжелых дисковых борон, культиваторов, мульчировщиков, сцепок, комбинированных орудий и катков; запчастей, упрочненных методом термоконтактного",parsed,,2026-09-21T05:10:20Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,repeat,exact normalized email matched current Twenty repeat index,almaztd@almaztd.ru,,Алмаз,almaztd@almaztd.ru,almaztd.ru,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,almaztd@almaztd.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,АЛМАЗ (РЗЗ),АЛМАЗ (РЗЗ),ALMAZ (RZZ),почвообрабатывающая техника; посевная техника; запчасти и комплектующие для сельхозтехники; сельскохозяйственная техника и оборудование,Россия,RUS,,,В5.31,,Реверсивные плуги; Снабжение запасными частями,Reversible ploughs; Spare parts supply,"АЛМАЗ специализируется на проектировании, производстве и сбыте почвообрабатывающей, посевной техники и запасных частей. Ассортимент АЛМАЗ представлен в 7 категориях техники, включает 15 типов машин: лемешные, чизельные, оборотные плуги, дисковые бороны, сеялки. На рынке востребованы высококачественные запасные части для наиболее распространенных орудий почвообработки. Дилерская сеть действует в 70 субъектах РФ и ряде стран СНГ",,https://almaztd.ru,almaztd@almaztd.ru,+7 800 700 5008,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33945,33945,3399,keep,"АЛМАЗ (РЗЗ) | Россия | Реверсивные плуги; Снабжение запасными частями | АЛМАЗ специализируется на проектировании, производстве и сбыте почвообрабатывающей, посевной техники и запасных частей. Ассортимент АЛМАЗ представлен в 7 категориях техники, включает 15 типов машин: лемешные, чизельные, оборотные плуги, дисковые бороны, сеялки",parsed,,2026-09-21T05:10:20Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,repeat,exact normalized email matched current Twenty repeat index,almaztd@almaztd.ru,,Алмаз,almaztd@almaztd.ru,almaztd.ru,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,almaztd@almaztd.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,АЛЬЯНС БЕЛТ,АЛЬЯНС БЕЛТ,ALYANS BELT,погрузочная и транспортная техника; сельскохозяйственная техника и оборудование,Россия,RUS,,,B9.80,,Снабжение запасными частями,Spare parts supply,"АЛЬЯНС БЕЛТ — специализированный поставщик приводных ремней TOP DRIVE для сельхозтехники, промышленности и автотранспорта. Эксклюзивный партнер J.K. Fenner в РФ.",,https://allbelt.ru; https://topdv.ru/,info@allbelt.ru; info@topdv.ru,+7 (800) 555-36-25,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33948,33948,3402,keep,"АЛЬЯНС БЕЛТ | Россия | Снабжение запасными частями | АЛЬЯНС БЕЛТ — специализированный поставщик приводных ремней TOP DRIVE для сельхозтехники, промышленности и автотранспорта. Эксклюзивный партнер J.K. Fenner в РФ.",parsed,,2026-09-21T05:10:21Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,new,,,,,info@allbelt.ru; info@topdv.ru,allbelt.ru; topdv.ru,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,info@allbelt.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,АПЕКС,АПЕКС,APECS,"другое из группы «комплектующие, запасные части, принадлежности»",Россия,RUS,,,C7.51,,"Другое из группы «Комплектующие, запасные части, принадлежности»","Others from the group ""Components, spare parts, accessories""","Комплектующие для защиты растений и внесения КАС. Собственное производство: корпуса распылителей, фильтры,фитинги, дозаторы,шланговые подвесы. Поставка продукции ARAG, ASJ,LECHLER, FITT, IP, TOYMAN",,https://www.apecs.ru,marketing@apecs.ru,"(843)5-121-121,5-121-122",https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33784,33784,3005,keep,"АПЕКС | Россия | Другое из группы «Комплектующие, запасные части, принадлежности» | Комплектующие для защиты растений и внесения КАС. Собственное производство: корпуса распылителей, фильтры,фитинги, дозаторы,шланговые подвесы. Поставка продукции ARAG, ASJ,LECHLER, FITT, IP, TOYMAN",parsed,,2026-09-21T05:10:21Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,new,,,,,marketing@apecs.ru,apecs.ru,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,marketing@apecs.ru,public catalogue/contact email
