event_name,event_dates,company_name,company_short_name,products,country,city,address,stand,pavilion,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version,source_sheet,source_detail_sha256,detail_cache_file
CeMAT RUSSIA 2026,15–17 сентября 2026,"0ptiCore - Автоматизация склада, транспорта, доставки","0ptiCore - Автоматизация склада, транспорта, доставки",комплексные роботизированные системы; системы управления складом (wms),Россия,Москва,"142326, Россия, Московская обл., Чехов, Советская площадь, д. 3","A603 О компании На текущий момент времени компания специализируется в следующих областях: - автоматизация складской, транспортной и доставочной логистики - консалтинг складской и транспортной логистики - консалтинг проектов автоматизации с собственным и чужим программным обеспечением - аудит и системная интеграция IT в области Hardware и Software - обучение и адаптация сотрудников отраслевых решений - адаптация и разработка программных продуктов для автоматизации транспорта и логистики на своей платформе и чужих платформах - обеспечение проектов «под ключ» включая разработку бизнес модели, построению команды, внедрению инструментов, подбору персонала и сопровождению бизнеса в отрасли фулфилмента, логистики и транспорта - разработка программного обеспечения для робототехники и RMS систем - разработка и внедрение собственных аппаратных комплексов для механизации производства, складов Группа компаний OptiCore работает на российском и международном рынке с 2007 г и на текущий момент времени имеет в своей собственности компанию по разработке программных продуктов, компанию интегратора IT, компанию бизнес консалтинга и проектирования, компания также занимается преподаванием IT и технологий в логистике для заинтересованных сотрудников заказчиков. За годы существования компаний были разработаны более 50 различных отраслевых решений в области логистики транспорта и доставки, внедрено более 200 проектов автоматизации различного масштаба на территории РФ, СНГ, Европы, США. В компаниях трудятся многие десятки сотрудников. В мире существуют тысячи специалистов по продуктам компании. Бренды OptiCore LMS - решение по управлению логистикой предприятия Продукты и услуги Комплексные роботизированные системы IT-решения ERP-системы Решения на основе AI Системы управления складом (WMS) Контакты Адрес 142326, Россия, Московская обл., Чехов, Советская площадь, д. 3 Телефон +74953083020 E-mail sales@opticore.biz Веб-сайт www.0ptiCore.ru","1 Стенд: A603 О компании На текущий момент времени компания специализируется в следующих областях: - автоматизация складской, транспортной и доставочной логистики - консалтинг складской и транспортной логистики - консалтинг проектов автоматизации с собственным и чужим программным обеспечением - аудит и системная интеграция IT в области Hardware и Software - обучение и адаптация сотрудников отраслевых решений - адаптация и разработка программных продуктов для автоматизации транспорта и логистики на своей платформе и чужих платформах - обеспечение проектов «под ключ» включая разработку бизнес модели, построению команды, внедрению инструментов, подбору персонала и сопровождению бизнеса в отрасли фулфилмента, логистики и транспорта - разработка программного обеспечения для робототехники и RMS систем - разработка и внедрение собственных аппаратных комплексов для механизации производства, складов Группа компаний OptiCore работает на российском и международном рынке с 2007 г и на текущий момент времени имеет в своей собственности компанию по разработке программных продуктов, компанию интегратора IT, компанию бизнес консалтинга и проектирования, компания также занимается преподаванием IT и технологий в логистике для заинтересованных сотрудников заказчиков. За годы существования компаний были разработаны более 50 различных отраслевых решений в области логистики транспорта и доставки, внедрено более 200 проектов автоматизации различного масштаба на территории РФ, СНГ, Европы, США. В компаниях трудятся многие десятки сотрудников. В мире существуют тысячи специалистов по продуктам компании. Бренды OptiCore LMS - решение по управлению логистикой предприятия Продукты и услуги Комплексные роботизированные системы IT-решения ERP-системы Решения на основе AI Системы управления складом (WMS) Контакты Адрес 142326, Россия, Московская обл., Чехов, Советская площадь, д. 3 Телефон +74953083020 E-mail sales@opticore.biz Веб-сайт www.0ptiCore.ru",Комплексные роботизированные системы; IT-решения; ERP-системы; Решения на основе AI; Системы управления складом (WMS),source labels excluded: IT-решения=>no_signo_product_equipment_term; ERP-системы=>no_signo_product_equipment_term; Решения на основе AI=>no_signo_product_equipment_term,OptiCore LMS - решение по управлению логистикой предприятия,http://www.0ptiCore.ru,sales@opticore.biz,+74953083020,https://www.cemat-russia.ru/exhibition/catalogue/company/28327/,28327,"На текущий момент времени компания специализируется в следующих областях: - автоматизация складской, транспортной и доставочной логистики - консалтинг складской и транспортной логистики - консалтинг проектов автоматизации с собственным и чужим программным обеспечением - аудит и системная интеграция IT в области Hardware и Software - обучение и адаптация сотрудников отраслевых решений - адаптация и разработка программных продуктов для автоматизации транспорта и логистики на своей платформе и чужих платформах - обеспечение проектов «под ключ» включая разработку бизнес модели, построению команды, внедрению инструментов, подбору персонала и сопровождению бизнеса в отрасли фулфилмента, логистики и транспорта - разработка программного обеспечения для робототехники и RMS систем - разработка и внедрение собственных аппаратных комплексов для механизации производства, складов Группа компаний OptiC | Комплексные роботизированные системы; IT-решения; ERP-системы; Решения на основе AI; Системы управления складом (WMS)",detail_parsed,,2026-08-24T05:29:59Z,cemat-russia-2026-official-catalogue-signo-v1.0.1,cemat_russia_official_catalogue_2026,a0ed8687107bea2e7dc9ffe2732d0231bac20c7ecc73f341fd2ff7b5e9f4243a,source/detail_pages/detail_28327.html
CeMAT RUSSIA 2026,15–17 сентября 2026,ADDO INDIA TYRES,Addo India Tyres,погрузчики вилочные; погрузчики промышленные,Индия,,"141010, Индия, Индия, Лудхияна, Пенджаб, C-87, Фаза V, Фокал-Пойнт","C401 О компании Компания Eastman Industries Limited (входящая в группу JRS Eastman Group) — ведущий производитель и экспортер автомобильных шин, велосипедов, велосипедных комплектующих и запчастей для сельскохозяйственной техники. Ассортимент нашей шинной продукции включает шины для вилочных погрузчиков, сельскохозяйственной и внедорожной техники, нейлоновые шины для автобусов и грузовиков, шины для двух- и трехколесного транспорта, а также бутиловые камеры. Мы предлагаем широкий портфель брендов, в том числе ADDO INDIA, TOUGH, MILEWAY, RAYBAR, Eastman, BRONCO и JRS. Группа компаний, основанная г-ном Дж. Р. Сингалом (J. R. Singal), ведет международную деятельность, располагая производственными мощностями в Индии и Китае и экспортируя шины более чем в 72 страны. Продукция и услуги компании получили высокую оценку клиентов в Южной и Центральной Америке, странах Средиземноморья, на Ближнем Востоке, в Африке и других регионах мира. Бренды ADDO INDIA TOUGH Eastman MILE WAY JRS Raybar BRONCO Продукты и услуги Погрузчики вилочные Погрузчики промышленные Шины Транспортные перевозки Контакты Адрес 141010, Индия, Индия, Лудхияна, Пенджаб, C-87, Фаза V, Фокал-Пойнт Телефон +918054173600 E-mail autotyre5@addoindiatyres.com Веб-сайт https://www.addoindiatyres.com/","3 Стенд: C401 О компании Компания Eastman Industries Limited (входящая в группу JRS Eastman Group) — ведущий производитель и экспортер автомобильных шин, велосипедов, велосипедных комплектующих и запчастей для сельскохозяйственной техники. Ассортимент нашей шинной продукции включает шины для вилочных погрузчиков, сельскохозяйственной и внедорожной техники, нейлоновые шины для автобусов и грузовиков, шины для двух- и трехколесного транспорта, а также бутиловые камеры. Мы предлагаем широкий портфель брендов, в том числе ADDO INDIA, TOUGH, MILEWAY, RAYBAR, Eastman, BRONCO и JRS. Группа компаний, основанная г-ном Дж. Р. Сингалом (J. R. Singal), ведет международную деятельность, располагая производственными мощностями в Индии и Китае и экспортируя шины более чем в 72 страны. Продукция и услуги компании получили высокую оценку клиентов в Южной и Центральной Америке, странах Средиземноморья, на Ближнем Востоке, в Африке и других регионах мира. Бренды ADDO INDIA TOUGH Eastman MILE WAY JRS Raybar BRONCO Продукты и услуги Погрузчики вилочные Погрузчики промышленные Шины Транспортные перевозки Контакты Адрес 141010, Индия, Индия, Лудхияна, Пенджаб, C-87, Фаза V, Фокал-Пойнт Телефон +918054173600 E-mail autotyre5@addoindiatyres.com Веб-сайт https://www.addoindiatyres.com/",Погрузчики вилочные; Погрузчики промышленные; Шины; Транспортные перевозки,source labels excluded: Шины=>no_signo_product_equipment_term; Транспортные перевозки=>service_only:перевозки,ADDO INDIA; TOUGH; Eastman; MILE WAY; JRS; Raybar; BRONCO,https://www.addoindiatyres.com/,autotyre5@addoindiatyres.com,+918054173600,https://www.cemat-russia.ru/exhibition/catalogue/company/28206/,28206,"Компания Eastman Industries Limited (входящая в группу JRS Eastman Group) — ведущий производитель и экспортер автомобильных шин, велосипедов, велосипедных комплектующих и запчастей для сельскохозяйственной техники. Ассортимент нашей шинной продукции включает шины для вилочных погрузчиков, сельскохозяйственной и внедорожной техники, нейлоновые шины для автобусов и грузовиков, шины для двух- и трехколесного транспорта, а также бутиловые камеры. Мы предлагаем широкий портфель брендов, в том числе ADDO INDIA, TOUGH, MILEWAY, RAYBAR, Eastman, BRONCO и JRS. Группа компаний, основанная г-ном Дж. Р. Сингалом (J. R. Singal), ведет международную деятельность, располагая производственными мощностями в Индии и Китае и экспортируя шины более чем в 72 страны. Продукция и услуги компании получили высокую оценку клиентов в Южной и Центральной Америке, странах Средиземноморья, на Ближнем Востоке, в Африк | Погрузчики вилочные; Погрузчики промышленные; Шины; Транспортные перевозки",detail_parsed,,2026-08-24T05:29:59Z,cemat-russia-2026-official-catalogue-signo-v1.0.1,cemat_russia_official_catalogue_2026,7cf7e79e5568a9fa500345ef200938c1252ef148cc5dd9a3065e8895e318a702,source/detail_pages/detail_28206.html
CeMAT RUSSIA 2026,15–17 сентября 2026,"ANTWELL FORKLIFT TRUCK ATTACHMENT (XIAMEN) CO., LTD.","Antwell Forklift Truck Attachment (Xiamen) Co., Ltd.",погрузчики вилочные; запасные части и комплектующие для техники и оборудования,Китай,,"No. 1701 Anren Avenue, Xiamen City, Jimei District, Fujian Province, 361026, China","B402 О компании Компания Antwell Forklift Attachments Co., Ltd., основанная в 2004 году, стала ведущим лидером в области решений для навесного оборудования для вилочных погрузчиков, известной своей исключительной философией проектирования, которая подчеркивает структурную эффективность, долговечность, простоту эксплуатации и экономичность. Стратегически ориентируясь на долгосрочный рост, мы постоянно предоставляем экспертные консультации, чтобы помочь нашим клиентам достичь операционного совершенства. Руководствуясь нашими руководящими принципами «Инновации, вызов, сотрудничество и благодарность», мы разработали универсальный ассортимент навесного оборудования для удовлетворения разнообразных потребностей в погрузочно-разгрузочных работах. Используя более чем 20-летний технический опыт, наш портфель включает более 30 серий и более 1000 специализированных моделей навесного оборудования для вилочных погрузчиков. Antwell остается непреклонной в расширении и совершенствовании своего ассортимента продукции, чтобы предлагать решения, повышающие эффективность, безопасность и надежность погрузочно-разгрузочных работ в различных отраслях промышленности. Продукты и услуги Погрузчики вилочные Запасные части и комплектующие для техники и оборудования Контакты Адрес No. 1701 Anren Avenue, Xiamen City, Jimei District, Fujian Province, 361026, China Телефон +86 15060755140 E-mail ant2004@antwell.com Веб-сайт www.antwell.com","2 Стенд: B402 О компании Компания Antwell Forklift Attachments Co., Ltd., основанная в 2004 году, стала ведущим лидером в области решений для навесного оборудования для вилочных погрузчиков, известной своей исключительной философией проектирования, которая подчеркивает структурную эффективность, долговечность, простоту эксплуатации и экономичность. Стратегически ориентируясь на долгосрочный рост, мы постоянно предоставляем экспертные консультации, чтобы помочь нашим клиентам достичь операционного совершенства. Руководствуясь нашими руководящими принципами «Инновации, вызов, сотрудничество и благодарность», мы разработали универсальный ассортимент навесного оборудования для удовлетворения разнообразных потребностей в погрузочно-разгрузочных работах. Используя более чем 20-летний технический опыт, наш портфель включает более 30 серий и более 1000 специализированных моделей навесного оборудования для вилочных погрузчиков. Antwell остается непреклонной в расширении и совершенствовании своего ассортимента продукции, чтобы предлагать решения, повышающие эффективность, безопасность и надежность погрузочно-разгрузочных работ в различных отраслях промышленности. Продукты и услуги Погрузчики вилочные Запасные части и комплектующие для техники и оборудования Контакты Адрес No. 1701 Anren Avenue, Xiamen City, Jimei District, Fujian Province, 361026, China Телефон +86 15060755140 E-mail ant2004@antwell.com Веб-сайт www.antwell.com",Погрузчики вилочные; Запасные части и комплектующие для техники и оборудования,,,http://www.antwell.com,ant2004@antwell.com,+86 15060755140,https://www.cemat-russia.ru/exhibition/catalogue/company/28584/,28584,"Компания Antwell Forklift Attachments Co., Ltd., основанная в 2004 году, стала ведущим лидером в области решений для навесного оборудования для вилочных погрузчиков, известной своей исключительной философией проектирования, которая подчеркивает структурную эффективность, долговечность, простоту эксплуатации и экономичность. Стратегически ориентируясь на долгосрочный рост, мы постоянно предоставляем экспертные консультации, чтобы помочь нашим клиентам достичь операционного совершенства. Руководствуясь нашими руководящими принципами «Инновации, вызов, сотрудничество и благодарность», мы разработали универсальный ассортимент навесного оборудования для удовлетворения разнообразных потребностей в погрузочно-разгрузочных работах. Используя более чем 20-летний технический опыт, наш портфель включает более 30 серий и более 1000 специализированных моделей навесного оборудования для вилочных погру | Погрузчики вилочные; Запасные части и комплектующие для техники и оборудования",detail_parsed,,2026-08-24T05:29:59Z,cemat-russia-2026-official-catalogue-signo-v1.0.1,cemat_russia_official_catalogue_2026,bd7718c765c1c01823ca21a6ff4905f67dd2cf8f139463537bc167f34b273f1e,source/detail_pages/detail_28584.html
CeMAT RUSSIA 2026,15–17 сентября 2026,"Anhui Shuncha Machinery Co., Ltd.","Anhui Shuncha Machinery Co., Ltd.",погрузчики вилочные; погрузчики промышленные,Китай,,"239000, Китай, Anhui, Chuzhou, No.19 Tangzhuang Dadao, Chahe New Area, Laian","B601 О компании Компания ShunCha Forklift, основанная в 2001 году, является ведущим производителем электрического складского оборудования, осуществляющим полный цикл работ: от исследований и разработок до тестирования, производства и обслуживания для поставщиков погрузочно-разгрузочного оборудования по всему миру. Бренды Shuncha Продукты и услуги Погрузчики вилочные Погрузчики промышленные Контакты Адрес 239000, Китай, Anhui, Chuzhou, No.19 Tangzhuang Dadao, Chahe New Area, Laian Телефон +86 13645501389 E-mail sales@shuncha-forklift.com Веб-сайт www.shuncha-forklift.com","2 Стенд: B601 О компании Компания ShunCha Forklift, основанная в 2001 году, является ведущим производителем электрического складского оборудования, осуществляющим полный цикл работ: от исследований и разработок до тестирования, производства и обслуживания для поставщиков погрузочно-разгрузочного оборудования по всему миру. Бренды Shuncha Продукты и услуги Погрузчики вилочные Погрузчики промышленные Контакты Адрес 239000, Китай, Anhui, Chuzhou, No.19 Tangzhuang Dadao, Chahe New Area, Laian Телефон +86 13645501389 E-mail sales@shuncha-forklift.com Веб-сайт www.shuncha-forklift.com",Погрузчики вилочные; Погрузчики промышленные,,Shuncha,http://www.shuncha-forklift.com,sales@shuncha-forklift.com,+86 13645501389,https://www.cemat-russia.ru/exhibition/catalogue/company/27979/,27979,"Компания ShunCha Forklift, основанная в 2001 году, является ведущим производителем электрического складского оборудования, осуществляющим полный цикл работ: от исследований и разработок до тестирования, производства и обслуживания для поставщиков погрузочно-разгрузочного оборудования по всему миру. | Погрузчики вилочные; Погрузчики промышленные",detail_parsed,,2026-08-24T05:29:59Z,cemat-russia-2026-official-catalogue-signo-v1.0.1,cemat_russia_official_catalogue_2026,50edd0e63fd0d7512b99403b5cf49d3307ab16abba0f02f4e94f1837ec1d9430,source/detail_pages/detail_27979.html
CeMAT RUSSIA 2026,15–17 сентября 2026,"Anhui Yulin New Material Technology Co., Ltd.","Anhui Yulin New Material Technology Co., Ltd.","погрузчики вилочные; погрузчики промышленные; конвейерные ленты, ролики и комплектующие; ролики и колеса для складского оборудования",Китай,,"No. 78, Industrial Avenue, Development Zone, Chuzhou City, Lai'an County, Anhui Province, China","B115 О компании Компания Anhui Yulin New Materials Technology Co., Ltd., основанная в 1998 году, специализируется на разработке, производстве и продаже полиуретановых изделий. Наша продукция включает в себя: колеса для электрических вилочных погрузчиков, колеса для автоматизированных транспортных средств (AGV), противоскользящие колеса для поломоечных машин. Завод занимает площадь 32000 м², у нас есть 3 автоматические линии по литью полиуретана, внешний диаметр изделий варьируется от φ50 мм до φ1500 мм, грузоподъемность одного колеса — от 50 кг до 20000 кг, а рабочая среда включает в себя мраморные, эпоксидные полы, холодильные камеры и беспыльные цеха. Бренды YULIN WHEEL Продукты и услуги Погрузчики вилочные Погрузчики промышленные Конвейерные ленты, ролики и комплектующие Ролики и колеса для складского оборудования Клининговое оборудование Контакты Адрес No. 78, Industrial Avenue, Development Zone, Chuzhou City, Lai'an County, Anhui Province, China Телефон +86 13637033080 E-mail 13637033080@163.com Веб-сайт www.yulinpu.com","2 Стенд: B115 О компании Компания Anhui Yulin New Materials Technology Co., Ltd., основанная в 1998 году, специализируется на разработке, производстве и продаже полиуретановых изделий. Наша продукция включает в себя: колеса для электрических вилочных погрузчиков, колеса для автоматизированных транспортных средств (AGV), противоскользящие колеса для поломоечных машин. Завод занимает площадь 32000 м², у нас есть 3 автоматические линии по литью полиуретана, внешний диаметр изделий варьируется от φ50 мм до φ1500 мм, грузоподъемность одного колеса — от 50 кг до 20000 кг, а рабочая среда включает в себя мраморные, эпоксидные полы, холодильные камеры и беспыльные цеха. Бренды YULIN WHEEL Продукты и услуги Погрузчики вилочные Погрузчики промышленные Конвейерные ленты, ролики и комплектующие Ролики и колеса для складского оборудования Клининговое оборудование Контакты Адрес No. 78, Industrial Avenue, Development Zone, Chuzhou City, Lai'an County, Anhui Province, China Телефон +86 13637033080 E-mail 13637033080@163.com Веб-сайт www.yulinpu.com","Погрузчики вилочные; Погрузчики промышленные; Конвейерные ленты, ролики и комплектующие; Ролики и колеса для складского оборудования; Клининговое оборудование",source labels excluded: Клининговое оборудование=>service_only:клининг,YULIN WHEEL,http://www.yulinpu.com,13637033080@163.com,+86 13637033080,https://www.cemat-russia.ru/exhibition/catalogue/company/28663/,28663,"Компания Anhui Yulin New Materials Technology Co., Ltd., основанная в 1998 году, специализируется на разработке, производстве и продаже полиуретановых изделий. Наша продукция включает в себя: колеса для электрических вилочных погрузчиков, колеса для автоматизированных транспортных средств (AGV), противоскользящие колеса для поломоечных машин. Завод занимает площадь 32000 м², у нас есть 3 автоматические линии по литью полиуретана, внешний диаметр изделий варьируется от φ50 мм до φ1500 мм, грузоподъемность одного колеса — от 50 кг до 20000 кг, а рабочая среда включает в себя мраморные, эпоксидные полы, холодильные камеры и беспыльные цеха. | Погрузчики вилочные; Погрузчики промышленные; Конвейерные ленты, ролики и комплектующие; Ролики и колеса для складского оборудования; Клининговое оборудование",detail_parsed,,2026-08-24T05:29:59Z,cemat-russia-2026-official-catalogue-signo-v1.0.1,cemat_russia_official_catalogue_2026,a305977508d2c1c9e5d11908f0163d81564b1e07b07a0678e5d8bea1a183d3a6,source/detail_pages/detail_28663.html
CeMAT RUSSIA 2026,15–17 сентября 2026,Artwms,Artwms,системы управления складом (wms),Россия,Москва,"123242, Россия, Москва, ул. Малая Грузинская, д.3","A107 О компании Artwms — российское решение класса WMS для управления, контроля и оптимизации логистики склада. Artwms поддерживает работу с маркировкой «Честный ЗНАК», интеграцию с автоматическим оборудованием и роботами на складе, позволяет эффективно управлять складами различного назначения, включая высоконагруженные, распределённые и автоматизированные склады со сложными или уникальными бизнес-процессами. Мы ежегодно обновляем версию системы и расширяем стандартную функциональность. Решение Artwms соответствует требованиям ГОСТ Р 59282-2020 и VDI 3601, а также включена в Единый реестр российского программного обеспечения (реестровая запись №28609). Среди наших клиентов крупнейшие технологичные компании, представляющие разные отрасли — ECCO, «Мистраль», Campari, Rendez-Vous, «Петрович», Gloria Jeans, «Нефтьмагистраль», 5POST и многие другие. Бренды Artwms Продукты и услуги IT-решения Системы управления складом (WMS) Контакты Адрес 123242, Россия, Москва, ул. Малая Грузинская, д.3 Телефон +7 (495) 401-67-89 E-mail info@lsstech.ru Веб-сайт www.artwms.ru","1 Стенд: A107 О компании Artwms — российское решение класса WMS для управления, контроля и оптимизации логистики склада. Artwms поддерживает работу с маркировкой «Честный ЗНАК», интеграцию с автоматическим оборудованием и роботами на складе, позволяет эффективно управлять складами различного назначения, включая высоконагруженные, распределённые и автоматизированные склады со сложными или уникальными бизнес-процессами. Мы ежегодно обновляем версию системы и расширяем стандартную функциональность. Решение Artwms соответствует требованиям ГОСТ Р 59282-2020 и VDI 3601, а также включена в Единый реестр российского программного обеспечения (реестровая запись №28609). Среди наших клиентов крупнейшие технологичные компании, представляющие разные отрасли — ECCO, «Мистраль», Campari, Rendez-Vous, «Петрович», Gloria Jeans, «Нефтьмагистраль», 5POST и многие другие. Бренды Artwms Продукты и услуги IT-решения Системы управления складом (WMS) Контакты Адрес 123242, Россия, Москва, ул. Малая Грузинская, д.3 Телефон +7 (495) 401-67-89 E-mail info@lsstech.ru Веб-сайт www.artwms.ru",IT-решения; Системы управления складом (WMS),source labels excluded: IT-решения=>no_signo_product_equipment_term,Artwms,http://www.artwms.ru,info@lsstech.ru,+7 (495) 401-67-89,https://www.cemat-russia.ru/exhibition/catalogue/company/27796/,27796,"Artwms — российское решение класса WMS для управления, контроля и оптимизации логистики склада. Artwms поддерживает работу с маркировкой «Честный ЗНАК», интеграцию с автоматическим оборудованием и роботами на складе, позволяет эффективно управлять складами различного назначения, включая высоконагруженные, распределённые и автоматизированные склады со сложными или уникальными бизнес-процессами. Мы ежегодно обновляем версию системы и расширяем стандартную функциональность. Решение Artwms соответствует требованиям ГОСТ Р 59282-2020 и VDI 3601, а также включена в Единый реестр российского программного обеспечения (реестровая запись №28609). Среди наших клиентов крупнейшие технологичные компании, представляющие разные отрасли — ECCO, «Мистраль», Campari, Rendez-Vous, «Петрович», Gloria Jeans, «Нефтьмагистраль», 5POST и многие другие. | IT-решения; Системы управления складом (WMS)",detail_parsed,,2026-08-24T05:29:59Z,cemat-russia-2026-official-catalogue-signo-v1.0.1,cemat_russia_official_catalogue_2026,433c3289b92dbfe824165dab9378e0ed114b97a4a35ae4ce413355fa49234f2b,source/detail_pages/detail_27796.html
CeMAT RUSSIA 2026,15–17 сентября 2026,Asia MH,Asia MH,подъёмно-транспортное оборудование; погрузчики вилочные; штабелёры; навесное оборудование для самоходной техники,Россия,Москва,"142712, Россия, Московская область, Ленинский район, городской поселок Горки Ленинские, промзона Пуговичино, владение 8, Бизнес-парк Ленинский","A205, A207 О компании Компания Asia MH – эксклюзивный дистрибьютор подъемно-транспортного и складского оборудования HELI в России с 1994 года. Техника под брендом HELI производится компанией ANHUI HELI CO, которая более 30 лет является производителем №1 в Китае техники для обработки грузов на протяжении 25 лет лет, входит в ТОП-10 мировых производителей напольного транспорта. Вся техника HELI в процессе производства проходит многоуровневый контроль и отвечает всем международным стандартам качества и безопасности. Компании Asia MH способна удовлетворить любые запросы клиентов, благодаря широкому модельному ряду техники HELI представленному на российском рынке: - вилочные автопогрузчики с ДВС грузоподъемностью от 1т до 46т, - вилочные электропогрузчики грузоподъемностью от 1т до 10т с различными типами АКБ (кислотные, литий-ионные), - вилочные автопогрузчики с ДВС повышенной проходимости грузоподъемностью 3-3,5т, - ричтраки грузоподъемностью от 1,5 до 2т, - штабелеры, - транспортировщики паллет, - комплектовщики заказов, - ричстакеры, - перегружатели порожних контейнеров грузоподъемностью от 18т до 25т, - тягачи с ДВС грузоподъемностью от 20т до 80т, - тягачи электрические грузоподъемностью от 2т до 25т, - платформенные тележки грузоподъемностью от 1т до 30т, - телескопические погрузчики. - интеллектуальные системы хранения и логистические решения (AGV) Компания Asia MH предоставляет полный комплекс услуг: - подбор и продажа необходимого подъемно-транспортного и складского оборудования, отвечающего всем требованием со стороны клиента - поставка запасный частей и расходных материалов со склада - техническое сопровождение 24/7 - техническое обслуживание и сервис (выездные сервисные бригады, стационарный сервисный центр) - trade-in - лизинг - аренда Индивидуальный подход в работе с каждым клиентом компании Asia MH гарантирует не только выгодные условия по приобретению подъемно-транспортного и складского оборудования HELI, но и квалифицированное послепродажное сопровождение. Долгосрочное партнерство с каждым клиентом, построенное на доверии и решении задач любой сложности - залог многолетней успешной работы компании Asia MH на российском рынке. Бренды HELI Продукты и услуги Подъёмно-транспортное оборудование и техника Погрузчики вилочные Ричтраки Штабелёры Навесное оборудование для самоходной техники Контакты Адрес 142712, Россия, Московская область, Ленинский район, городской поселок Горки Ленинские, промзона Пуговичино, владение 8, Бизнес-парк Ленинский Телефон +7 800 7757918 E-mail info@asiamh.ru Веб-сайт www.asiamh.ru","1 Стенд: A205, A207 О компании Компания Asia MH – эксклюзивный дистрибьютор подъемно-транспортного и складского оборудования HELI в России с 1994 года. Техника под брендом HELI производится компанией ANHUI HELI CO, которая более 30 лет является производителем №1 в Китае техники для обработки грузов на протяжении 25 лет лет, входит в ТОП-10 мировых производителей напольного транспорта. Вся техника HELI в процессе производства проходит многоуровневый контроль и отвечает всем международным стандартам качества и безопасности. Компании Asia MH способна удовлетворить любые запросы клиентов, благодаря широкому модельному ряду техники HELI представленному на российском рынке: - вилочные автопогрузчики с ДВС грузоподъемностью от 1т до 46т, - вилочные электропогрузчики грузоподъемностью от 1т до 10т с различными типами АКБ (кислотные, литий-ионные), - вилочные автопогрузчики с ДВС повышенной проходимости грузоподъемностью 3-3,5т, - ричтраки грузоподъемностью от 1,5 до 2т, - штабелеры, - транспортировщики паллет, - комплектовщики заказов, - ричстакеры, - перегружатели порожних контейнеров грузоподъемностью от 18т до 25т, - тягачи с ДВС грузоподъемностью от 20т до 80т, - тягачи электрические грузоподъемностью от 2т до 25т, - платформенные тележки грузоподъемностью от 1т до 30т, - телескопические погрузчики. - интеллектуальные системы хранения и логистические решения (AGV) Компания Asia MH предоставляет полный комплекс услуг: - подбор и продажа необходимого подъемно-транспортного и складского оборудования, отвечающего всем требованием со стороны клиента - поставка запасный частей и расходных материалов со склада - техническое сопровождение 24/7 - техническое обслуживание и сервис (выездные сервисные бригады, стационарный сервисный центр) - trade-in - лизинг - аренда Индивидуальный подход в работе с каждым клиентом компании Asia MH гарантирует не только выгодные условия по приобретению подъемно-транспортного и складского оборудования HELI, но и квалифицированное послепродажное сопровождение. Долгосрочное партнерство с каждым клиентом, построенное на доверии и решении задач любой сложности - залог многолетней успешной работы компании Asia MH на российском рынке. Бренды HELI Продукты и услуги Подъёмно-транспортное оборудование и техника Погрузчики вилочные Ричтраки Штабелёры Навесное оборудование для самоходной техники Контакты Адрес 142712, Россия, Московская область, Ленинский район, городской поселок Горки Ленинские, промзона Пуговичино, владение 8, Бизнес-парк Ленинский Телефон +7 800 7757918 E-mail info@asiamh.ru Веб-сайт www.asiamh.ru",Подъёмно-транспортное оборудование и техника; Погрузчики вилочные; Ричтраки; Штабелёры; Навесное оборудование для самоходной техники,source labels excluded: Ричтраки=>no_signo_product_equipment_term,HELI,http://www.asiamh.ru,info@asiamh.ru,+7 800 7757918,https://www.cemat-russia.ru/exhibition/catalogue/company/28490/,28490,"Компания Asia MH – эксклюзивный дистрибьютор подъемно-транспортного и складского оборудования HELI в России с 1994 года. Техника под брендом HELI производится компанией ANHUI HELI CO, которая более 30 лет является производителем №1 в Китае техники для обработки грузов на протяжении 25 лет лет, входит в ТОП-10 мировых производителей напольного транспорта. Вся техника HELI в процессе производства проходит многоуровневый контроль и отвечает всем международным стандартам качества и безопасности. Компании Asia MH способна удовлетворить любые запросы клиентов, благодаря широкому модельному ряду техники HELI представленному на российском рынке: - вилочные автопогрузчики с ДВС грузоподъемностью от 1т до 46т, - вилочные электропогрузчики грузоподъемностью от 1т до 10т с различными типами АКБ (кислотные, литий-ионные), - вилочные автопогрузчики с ДВС повышенной проходимости грузоподъемностью 3-3,5 | Подъёмно-транспортное оборудование и техника; Погрузчики вилочные; Ричтраки; Штабелёры; Навесное оборудование для самоходной техники",detail_parsed,,2026-08-24T05:29:59Z,cemat-russia-2026-official-catalogue-signo-v1.0.1,cemat_russia_official_catalogue_2026,d5f8acbbaddfaedac57c17095b155fc08f879298ae65298d7dc47370e8ddfe59,source/detail_pages/detail_28490.html
