event_name,company_name,country,city,address,stand,pavilion,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,alpha_filter,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version
ChemiCos 2026,ACSens / ВМ Ингредиентс,Россия,Котельники,"Россия, 140053, г. Котельники, Дзержинское шоссе д.9 к1",92F41,,CHEMICOS INDUSTRY,"ACSens - российская марка отдушек и парфюмерных композиций. Производство расположено в г. Котельники, МО и полностью оснащено автоматическими линиями высокой точности. Ежегодно компания инвестирует средства в инновации и разработку уникальных ароматов для производства парфюмерно-косметической продукции, средств личной гигиены, бытовой, авто и промышленной химии. Использование газовой хроматографии позволяет успешно контролировать качество входящего сырья и лидировать в проектах по импортозамещению иностранных отдушек. В текущем ассортименте ACSens более 5000 наименований. Мы являемся крупнейшим российским производителем отдушек и лидером в разработке ароматов!",ACSens,http://www.acsens.ru,anna.saprykina@mail.ru,74955482917,https://chemicos.ru/ru/company-card-axe?sendcompany=5830,5830,A,"ACSens - российская марка отдушек и парфюмерных композиций. Производство расположено в г. Котельники, МО и полностью оснащено автоматическими линиями высокой точности. Ежегодно компания инвестирует средства в инновации и разработку уникальных ароматов для производства парфюмерно-косметической продукции, средств личной гигиены, бытовой, авто и промышленной химии. Использование газовой хроматографии позволяет успешно контролировать качество входящего сырья и лидировать в проектах по импортозамещению иностранных отдушек. В текущем ассортименте ACSens более 5000 наименований. Мы являемся крупнейшим российским производителем отдушек и лидером в разработке ароматов! | CHEMICOS INDUSTRY | ACSens",ok,,2026-06-13T06:10:24Z,chemicos-joomla-catalog-v1.0.0
ChemiCos 2026,AER (АЕР),Россия,Санкт-Петербург,"Россия, 190031, г. Санкт-Петербург, переулок Спасский, дом 4, литер Б, помещение 6Н, офис 3",91F21,,ПРОФЕССИОНАЛЬНАЯ И БЫТОВАЯ ХИМИЯ,"Компания АЕР – российский производитель товаров для дома и автоаксессуаров из полимеров, работает на рынке пластмассовых изделий с 2005 года, является экспертом, разработала и внедрила уникальную технологию производства полимерных ароматизаторов. Ароматизаторы имеют современный дизайн, стойкий аромат, гигиеничны и удобны в использовании. Ассортимент продукции: ароматизаторы воздуха, поглотители запахов, скребки, водосгоны, брызговики, рамки для номеров. Продукция производится под собственным товарным знаком АЕР, а также под СТМ заказчиков. Вся продукция отличается продуманным конструктивом, дизайном и качеством.",АЕР,http://www.aer-tech.ru,sale@aer-tech.ru,+7(812)320-07-34,https://chemicos.ru/ru/company-card-axe?sendcompany=5703,5703,A,"Компания АЕР – российский производитель товаров для дома и автоаксессуаров из полимеров, работает на рынке пластмассовых изделий с 2005 года, является экспертом, разработала и внедрила уникальную технологию производства полимерных ароматизаторов. Ароматизаторы имеют современный дизайн, стойкий аромат, гигиеничны и удобны в использовании. Ассортимент продукции: ароматизаторы воздуха, поглотители запахов, скребки, водосгоны, брызговики, рамки для номеров. Продукция производится под собственным товарным знаком АЕР, а также под СТМ заказчиков. Вся продукция отличается продуманным конструктивом, дизайном и качеством. | ПРОФЕССИОНАЛЬНАЯ И БЫТОВАЯ ХИМИЯ | АЕР",ok,,2026-06-13T06:10:24Z,chemicos-joomla-catalog-v1.0.0
ChemiCos 2026,Aimix,Россия,Ижевск,"Россия, Ижевск, Новоожимова 25/2",91C32,,ПРОФЕССИОНАЛЬНАЯ И БЫТОВАЯ ХИМИЯ,"Aimix – производитель бытовой эко-химии с уникальными ароматами регионов России. Мы разрабатываем и производим в Удмуртии безопасные, экологичные средства для дома с заботой о здоровье человека и окружающей среде. Ароматы продукции создаются на основе реальных впечатлений: команда Aimix путешествует по регионам, изучает местную культуру, общается с жителями и вдохновляется природой и атмосферой мест.",,http://al-mix.ru,company@al-mix.ru,79120112328,https://chemicos.ru/ru/company-card-axe?sendcompany=5892,5892,A,"Aimix – производитель бытовой эко-химии с уникальными ароматами регионов России. Мы разрабатываем и производим в Удмуртии безопасные, экологичные средства для дома с заботой о здоровье человека и окружающей среде. Ароматы продукции создаются на основе реальных впечатлений: команда Aimix путешествует по регионам, изучает местную культуру, общается с жителями и вдохновляется природой и атмосферой мест. | ПРОФЕССИОНАЛЬНАЯ И БЫТОВАЯ ХИМИЯ",ok,,2026-06-13T06:10:24Z,chemicos-joomla-catalog-v1.0.0
ChemiCos 2026,ALTAICA,Россия,Самарская обл.,"Россия, Самарская обл., Ставропольский район, с. Подстепки, ул. Литературная, д. 19/5",92D42,,"ПРОФЕССИОНАЛЬНАЯ И БЫТОВАЯ ХИМИЯ, КОСМЕТИКА, ПЕРСОНАЛЬНАЯ ГИГИЕНА","Altaica - это не просто косметика. Это способ вернуть себе связь с природой через уход. Мы верим, что уход за собой- это не только про кожу. Это способ замедлиться, вернуться к себе, услышать свое тело. Мы разработали уникальные биоактивные комплексы, которые стали основой наших формул. Эти составы тщательно подобраны и обладают высокой эффективностью, чтобы обеспечить заметный результат. Работаем не только на свой бренд, но и выпускаем продукцию как контрактное производство.",,http://serdce-taygi.ru/stm,Sib.spa@inbox.ru,8-927-215-14-74,https://chemicos.ru/ru/company-card-axe?sendcompany=5727,5727,A,"Altaica - это не просто косметика. Это способ вернуть себе связь с природой через уход. Мы верим, что уход за собой- это не только про кожу. Это способ замедлиться, вернуться к себе, услышать свое тело. Мы разработали уникальные биоактивные комплексы, которые стали основой наших формул. Эти составы тщательно подобраны и обладают высокой эффективностью, чтобы обеспечить заметный результат. Работаем не только на свой бренд, но и выпускаем продукцию как контрактное производство. | ПРОФЕССИОНАЛЬНАЯ И БЫТОВАЯ ХИМИЯ, КОСМЕТИКА, ПЕРСОНАЛЬНАЯ ГИГИЕНА",ok,,2026-06-13T06:10:24Z,chemicos-joomla-catalog-v1.0.0
ChemiCos 2026,AMARION,Россия,Москва,"Россия, 119048, РФ, г. Москва, вн. тер. г. муниципальный округ Хамовники, ул. Усачёва, д. 2, стр. 1",91F33,,"ТОВАРЫ ДЛЯ КРАСОТЫ И ЗДОРОВЬЯ, CHEMICOS INDUSTRY",Первое в России предприятие полного цикла по переработке и производству продуктов из амаранта.,Amarancho; Amarantica,http://www.amarion.ru,info@amarion.ru,+7 986 249-52-93,https://chemicos.ru/ru/company-card-axe?sendcompany=5885,5885,A,"Первое в России предприятие полного цикла по переработке и производству продуктов из амаранта. | ТОВАРЫ ДЛЯ КРАСОТЫ И ЗДОРОВЬЯ, CHEMICOS INDUSTRY | Amarancho; Amarantica",ok,,2026-06-13T06:10:24Z,chemicos-joomla-catalog-v1.0.0
ChemiCos 2026,Ataman Kimya A.S,Турция,Istanbul –Turkey,"Icerenkoy Mah.Destan Sokak Efor Plaza C Blok Kat:5 34572 Atasehir, Istanbul –Turkey",92F11,,"ПРОФЕССИОНАЛЬНАЯ И БЫТОВАЯ ХИМИЯ, КОСМЕТИКА, ПЕРСОНАЛЬНАЯ ГИГИЕНА, ТОВАРЫ ДЛЯ КРАСОТЫ И ЗДОРОВЬЯ, CHEMICOS INDUSTRY","Основанная в 1940-х годах, компания Ataman Kimya занимается импортом, экспортом и маркетингом химического сырья. Мы поставляем сырьё преимущественно для следующих отраслей: косметика (уход за волосами и кожей), ароматические химикаты, эмульсионная полимеризация, моющие средства, дезинфицирующие средства, лакокрасочные материалы, строительная химия, химикаты для текстильной и кожевенной промышленности, водоподготовка, горнодобывающая промышленность и бурение, фармацевтика, агрохимия и кормовые добавки.",,http://www.atamankimya.com,zeynep@atamankimya.com,905444191155,https://chemicos.ru/ru/company-card-axe?sendcompany=5744,5744,A,"Основанная в 1940-х годах, компания Ataman Kimya занимается импортом, экспортом и маркетингом химического сырья. Мы поставляем сырьё преимущественно для следующих отраслей: косметика (уход за волосами и кожей), ароматические химикаты, эмульсионная полимеризация, моющие средства, дезинфицирующие средства, лакокрасочные материалы, строительная химия, химикаты для текстильной и кожевенной промышленности, водоподготовка, горнодобывающая промышленность и бурение, фармацевтика, агрохимия и кормовые добавки. | ПРОФЕССИОНАЛЬНАЯ И БЫТОВАЯ ХИМИЯ, КОСМЕТИКА, ПЕРСОНАЛЬНАЯ ГИГИЕНА, ТОВАРЫ ДЛЯ КРАСОТЫ И ЗДОРОВЬЯ, CHEMICOS INDUSTRY",ok,,2026-06-13T06:10:24Z,chemicos-joomla-catalog-v1.0.0
ChemiCos 2026,BADA BOOM,Россия,Долгопрудный,"Россия, Московская область, город Долгопрудный, Промышленный проезд 6",91E11,,"ПРОФЕССИОНАЛЬНАЯ И БЫТОВАЯ ХИМИЯ, КОСМЕТИКА, ПЕРСОНАЛЬНАЯ ГИГИЕНА, ТОВАРЫ ДЛЯ КРАСОТЫ И ЗДОРОВЬЯ","ООО «Шэвуш» – российский производитель и поставщик натуральной косметики для ванн ручной работы под ТМ «BADA BOOM». Опыт производства с 2021 года. В ассортименте компании: содовые бомбочки для ванны; пенные гейзеры; твердые пены; сияющая соль для ванн. Производство продукции по уникальной рецептуре без сульфатов, масел, твина, парабенов и других возможных аллергенов. В составе продукции пищевые ингредиенты, а пенная основа - кокамидопропил бетаин, самый мягкий ПАВ на основе жирных кислот кокосового масла. ТМ «BADA BOOM» – пятикратный лауреат премии «Лучший из лучших» в 2024 году по версии международной выставки детских товаров KIDS Russia в двух номинациях: «Лучший инновационный продукт» и «Лучший новый товар». Приглашаем к сотрудничеству торговые сети и магазины, коммерческих партнеров, оптовых покупателей. Вся продукция компании сертифицирована: СГР, ЭКО, БИО, ЕАС, ISO 9001:2015.",BADA BOOM,http://www.badaboom.store,ivan@badaboom.store,+7(495)790-55-88,https://chemicos.ru/ru/company-card-axe?sendcompany=5746,5746,B,"ООО «Шэвуш» – российский производитель и поставщик натуральной косметики для ванн ручной работы под ТМ «BADA BOOM». Опыт производства с 2021 года. В ассортименте компании: содовые бомбочки для ванны; пенные гейзеры; твердые пены; сияющая соль для ванн. Производство продукции по уникальной рецептуре без сульфатов, масел, твина, парабенов и других возможных аллергенов. В составе продукции пищевые ингредиенты, а пенная основа - кокамидопропил бетаин, самый мягкий ПАВ на основе жирных кислот кокосового масла. ТМ «BADA BOOM» – пятикратный лауреат премии «Лучший из лучших» в 2024 году по версии международной выставки детских товаров KIDS Russia в двух номинациях: «Лучший инновационный продукт» и «",ok,,2026-06-13T06:10:24Z,chemicos-joomla-catalog-v1.0.0
ChemiCos 2026,BIO NATURE,Россия,Самара,"Россия, 443110, г. Самара, ПР-Т Ленина, дом № 16-108",92D42,,"КОСМЕТИКА, ТОВАРЫ ДЛЯ КРАСОТЫ И ЗДОРОВЬЯ","С 2013 года, компания занимается производством уходовой косметики. Представляем широкую линейку порошковых альгинатных масок и другие средства по уходу за лицом и телом.",BIO NATURE; ALGO LIGHT; BEAUTY PROFESSIONAL,http://bio-nature-riteail.ru,confashion63@mail.ru,79276956487,https://chemicos.ru/ru/company-card-axe?sendcompany=5726,5726,B,"С 2013 года, компания занимается производством уходовой косметики. Представляем широкую линейку порошковых альгинатных масок и другие средства по уходу за лицом и телом. | КОСМЕТИКА, ТОВАРЫ ДЛЯ КРАСОТЫ И ЗДОРОВЬЯ | BIO NATURE; ALGO LIGHT; BEAUTY PROFESSIONAL",ok,,2026-06-13T06:10:24Z,chemicos-joomla-catalog-v1.0.0
ChemiCos 2026,Cleans Fabric (Клиенс Фабрик)»,Казахстан,Казахстан РК. город Шымкент,"Казахстан РК. город Шымкент, Енбекшийнский район, Жм «Жулдуз»,336/25. СЭЗ «Онтустик» +7(777) 096 25 01",91B44,,ПЕРСОНАЛЬНАЯ ГИГИЕНА,"Наша компания с 2021 года занимается производством влажных салфеток в Республике Казахстан. Продукция широко представлена на внутреннем рынке и реализуется через дилерскую сеть. Также мы успешно осуществляем экспорт в Кыргызскую Республику. Мы специализируемся на выпуске качественных влажных салфеток для повседневного использования и готовы предложить партнёрам стабильные поставки, конкурентоспособные цены и гибкий подход к сотрудничеству. Помимо собственной продукции, компания предоставляет услуги по контрактному производству (СТМ / Private Label) – от разработки рецептуры и подбора материалов до выпуска готового продукта под брендом заказчика. Производственные мощности позволяют работать как с крупными, так и со средними партиями, соблюдая требования по качеству и срокам. Мы открыты к сотрудничеству с дистрибьюторами и торговыми компаниями в Российской Федерации.",,http://,dirikb@mail.ru,+7(777) 560 01 74,https://chemicos.ru/ru/company-card-axe?sendcompany=5899,5899,C,"Наша компания с 2021 года занимается производством влажных салфеток в Республике Казахстан. Продукция широко представлена на внутреннем рынке и реализуется через дилерскую сеть. Также мы успешно осуществляем экспорт в Кыргызскую Республику. Мы специализируемся на выпуске качественных влажных салфеток для повседневного использования и готовы предложить партнёрам стабильные поставки, конкурентоспособные цены и гибкий подход к сотрудничеству. Помимо собственной продукции, компания предоставляет услуги по контрактному производству (СТМ / Private Label) – от разработки рецептуры и подбора материалов до выпуска готового продукта под брендом заказчика. Производственные мощности позволяют работать к",ok,,2026-06-13T06:10:24Z,chemicos-joomla-catalog-v1.0.0
ChemiCos 2026,Daliaf,Россия,ской округ город Оренбург,"Юридический адрес: 460019 РФ, Оренбургская область, городской округ город Оренбург, город Оренбург, Шарлыкское шоссе, здание № 4А, офис 4",91F44,,"ПРОФЕССИОНАЛЬНАЯ И БЫТОВАЯ ХИМИЯ, КОСМЕТИКА, ПЕРСОНАЛЬНАЯ ГИГИЕНА","Dalia – это современный российский завод средств для уборки и красоты, который перезапускает привычные стандарты качества и дизайна. Миссия бренда – сделать качественные и эстетичные средства для уборки и красоты доступными для каждой семьи.",Daliaf,http://Daliaf.ru,yu.fatneva@daliaf.ru,79619108885,https://chemicos.ru/ru/company-card-axe?sendcompany=5714,5714,D,"Dalia – это современный российский завод средств для уборки и красоты, который перезапускает привычные стандарты качества и дизайна. Миссия бренда – сделать качественные и эстетичные средства для уборки и красоты доступными для каждой семьи. | ПРОФЕССИОНАЛЬНАЯ И БЫТОВАЯ ХИМИЯ, КОСМЕТИКА, ПЕРСОНАЛЬНАЯ ГИГИЕНА | Daliaf",ok,,2026-06-13T06:10:24Z,chemicos-joomla-catalog-v1.0.0
