event_name,event_dates,company_name,company_short_name,products,country,city,address,stand,pavilion,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version,source_sheet,source_detail_sha256,detail_cache_file
China Commodity Fair 2026,25–27 августа 2026,"Anhua Xianglong Tea Industry Co., Ltd",Anhua Xianglong Tea Industry,продукты питания,Китай,Москва,"Китай, Yiyang City, Hunan Province, Qingtangpu Town, Anhua County, Yiyang City, Hunan Province",1E14,1,Продукты питания и сельскохозяйственная продукция,,,,252936513@qq.com,+0086_(_18230506625__)___-__-__,https://online.gefera.ru/info/ICF26/catalog/917141e5-bf9b-b84b-e761-1274de235e62/,917141e5-bf9b-b84b-e761-1274de235e62,"Компания «Anhua Xianglong Tea Industry» основана в 2018 году в уезде Аньхуа провинции Хунань, на родине черного чая, и специализируется на премиальном бутиковом чае с полным замкнутым циклом производства. Предприятие обладает эксклюзивными плантациями на главном пике горы Фужун на высоте свыше 800 метров, где редкие ледниковые моренные почвы, насыщенные минералами, и уникальный высокогорный климат в сочетании со строгим органическим земледелием придают чайному листу непревзойденное скальное очарование. Опираясь на тысячелетние традиции Чайного конного пути и нематериальное наследие ручного мастерства, компания отказалась от массового выпуска в пользу высокого сегмента, отбирая ранневесеннее сырье и соединяя вековые методы с современным контролем для создания темного, органического зеленого и изысканного черного чая, который отличают стойкие скальные ноты, цветочный аромат, мягкий вкус и долгое сладкое послевкусие. Продукция ориентирована на дегустации, подарки, коллекционирование и долгосрочный рост ценности. Сотрудничая с потомственными чаеводами, фирма развивает органические сады, поддерживает сельские территории и целенаправленно строит первоклассный бренд с уникальным характеро",detail_parsed,,2026-08-24T05:32:09Z,china-commodity-fair-2026-gefera-public-catalog-signo-v1.0.1,gefera_icf26_public_catalog_count_all_ru,05a980933c1b6b6b173c818fdecd8d65b46d5c345e46eadbc51a2dceed7ddbe9,source/detail_pages/detail_917141e5-bf9b-b84b-e761-1274de235e62.html
China Commodity Fair 2026,25–27 августа 2026,"Anhui BB-FOX Stationery Co., Ltd",Anhui BB-FOX Stationery,подарки и товары для праздника,Китай,Москва,"Китай, Чжоучжоу, г. Чжучжоу, провинция Аньхой, район Лайань, зона экономического развития, улица Чуанъе, 91",1F33,1,Подарки и товары для праздника,,,http://www.bb-fox.en.alibaba.com,angela@bb-fox.com,+86(055)5605-5888,https://online.gefera.ru/info/ICF26/catalog/7ee9c3a0-3a6e-2239-59a6-29abde78a07c/,7ee9c3a0-3a6e-2239-59a6-29abde78a07c,"Компания «Anhui BB-Fox Stationery», основанная в 2017 году, является акционерным предприятием с правом самостоятельного ведения экспортно-импортных операций. Организация специализируется на дизайне, разработке и изготовлении бытовых, ученических и офисных клеевых составов, а также принадлежностей для художественной живописи. Завод фирмы занимает территорию более 30 000 квадратных метров. В штате трудятся опытные разработчики с многолетней экспертизой, а производство оснащено множеством полностью автоматических линий. Полностью роботизированный интеллектуальный цех, спроектированный совместно с японскими дизайнерами, соответствует управленческим стандартам 6S и международным сертификационным требованиям, включая BSCI. Предприятие также обладает сертификатами систем менеджмента ISO9001, ISO14001 и ISO45001.",detail_parsed,,2026-08-24T05:32:09Z,china-commodity-fair-2026-gefera-public-catalog-signo-v1.0.1,gefera_icf26_public_catalog_count_all_ru,b95b5bb4c90d49e73b8e1f2c116180f8d278d5f0d26e404af8fb037be4d5fbaa,source/detail_pages/detail_7ee9c3a0-3a6e-2239-59a6-29abde78a07c.html
China Commodity Fair 2026,25–27 августа 2026,"Anhui Harold Import And Export Co., Ltd",Anhui Harold Import And Export,"товары для спорта и фитнеса, детские товары и игрушки, бытовая техника и электроника, товары для дома и кухни",Китай,Москва,"Китай, Hefei, Room 802, Building 31, Jingangwan Mansion, No. 1999 Changning Avenue, High-tech Zone",1F46,1,Товары для фитнеса и спорта; Детские товары и игрушки; Бытовая техника и электроника; Товары для дома и кухни,,,,,,https://online.gefera.ru/info/ICF26/catalog/2ec51cbc-f71b-ed91-0b02-57522b08ea1e/,2ec51cbc-f71b-ed91-0b02-57522b08ea1e,"Компания «Anhui Harold Import And Export», зарегистрированная в 2024 году в высокотехнологичной зоне Хэфэя, — многопрофильное внешнеторговое предприятие с полным правом на импорт и экспорт, опирающееся на производственный потенциал провинции Аньхой и объединяющее подбор продукции, контроль качества, международные продажи и логистику «под ключ» для дистрибьюторов, розничных сетей и брендов. Ключевой портфель охватывает электровелосипеды и запчасти, внедорожную мототехнику, мебель, товары повседневного спроса и детские игрушки. Сотрудничество с десятками сертифицированных заводов позволяет гибко выполнять кастомизацию, оптовые и сборные контейнерные поставки, а строгий предотгрузочный контроль обеспечивает соответствие стандартам ЕС, Юго-Восточной Азии и Латинской Америки. Глобальная логистическая сеть компании включает морские, авиа- и железнодорожные перевозки с таможенным оформлением, складским обслуживанием и доставкой до двери, а активное участие в международных выставках и отзывчивая послепродажная поддержка помогают выстраивать долгосрочное доверие партнеров из Европы, Юго-Восточной Азии, Ближнего Востока и Южной Америки.",detail_parsed,,2026-08-24T05:32:09Z,china-commodity-fair-2026-gefera-public-catalog-signo-v1.0.1,gefera_icf26_public_catalog_count_all_ru,78c1c4d78d1ffd95800a53d1b2b10e8dfa11073656c5d762320c0d327527b8cd,source/detail_pages/detail_2ec51cbc-f71b-ed91-0b02-57522b08ea1e.html
China Commodity Fair 2026,25–27 августа 2026,Anhui Wen Xia Import And Export Trading,Anhui Wen Xia Import And Export Trading,"бытовая техника и электроника, товары для дома и кухни",Китай,Москва,"Китай, wuhu, wuhu",1F54,1,Бытовая техника и электроника; Товары для дома и кухни,,,http://www.WenXia.com,,,https://online.gefera.ru/info/ICF26/catalog/df26bad1-3c49-bb5c-0a5c-884cd2014466/,df26bad1-3c49-bb5c-0a5c-884cd2014466,"Компания «Anhui Wenxia Import & Export Trading» основана в 2022 году в городе Уху провинции Аньхой и обладает полным объемом прав на импорт и экспорт для ведения глобальной торговой деятельности. Предприятие поставляет широкий спектр продукции, включая автомобильные запчасти, металлические материалы, скобяные изделия, пластиковую продукцию, текстиль, строительные материалы и товары повседневного спроса. Организация предоставляет комплексные услуги, охватывающие сорсинг продукции, управление цепочками поставок и экспортное агентирование. Фирма проводит строгий отбор поставщиков и контролирует качество продукции. Придерживаясь принципов конкурентного ценообразования и эффективного сервиса, компания стремится выстраивать стабильные и взаимовыгодные деловые партнерства с клиентами по всему миру.",detail_parsed,,2026-08-24T05:32:09Z,china-commodity-fair-2026-gefera-public-catalog-signo-v1.0.1,gefera_icf26_public_catalog_count_all_ru,7ac600d5afd5ea97af8d0e23b6529728d50d852a7ac3d902aaeee251fe4e291e,source/detail_pages/detail_df26bad1-3c49-bb5c-0a5c-884cd2014466.html
China Commodity Fair 2026,25–27 августа 2026,"Anhui Yingluoni lntemational Trade Co., Ltd",Anhui Yingluoni lntemational Trade,"бытовая техника и электроника, товары для дома и кухни",Китай,Москва,"Россия, HEFEI, HEFEI",1D21,1,Бытовая техника и электроника; Товары для дома и кухни,,,http://ww.yingluoni.com,,,https://online.gefera.ru/info/ICF26/catalog/7d6622c3-2f21-adab-abaf-d8015d27d2b6/,7d6622c3-2f21-adab-abaf-d8015d27d2b6,"Компания «Anhui Inloni International Trade», основанная в 2021 году и базирующаяся в городе Хэфэй провинции Аньхой, является многопрофильным экспортно-импортным предприятием с полным объемом внешнеторговых прав. Организация специализируется на поставках автомобильных запчастей, металлоизделий, товаров повседневного спроса, скобяных изделий и продукции для дома. Объединяя сорсинг, торговое агентирование и комплексные экспортные услуги в формате «одного окна», фирма обслуживает клиентов на множестве зарубежных рынков.",detail_parsed,,2026-08-24T05:32:09Z,china-commodity-fair-2026-gefera-public-catalog-signo-v1.0.1,gefera_icf26_public_catalog_count_all_ru,76ad5ccb944159fda0d93946f2d774433ef83172c7cad271b8ef4a549b65a7d4,source/detail_pages/detail_7d6622c3-2f21-adab-abaf-d8015d27d2b6.html
China Commodity Fair 2026,25–27 августа 2026,Asia Pacific,Asia Pacific,,Китай,Москва,"Россия, 127055, Москва, Москва, Лесная 43",1E43,1,Единый консультационный центр,service/unsuitable category terms excluded: Единый консультационный центр; service/unsuitable category terms excluded: Единый консультационный центр,,https://as-pacific.com/,,,https://online.gefera.ru/info/ICF26/catalog/2b25d9be-e74c-2e37-1e1a-165e228cccde/,2b25d9be-e74c-2e37-1e1a-165e228cccde,"Компания «Asia Pacific» — это агентство полного цикла, сфокусированное исключительно на Китае. С 2017 года офисы организации в России и Китае помогают как российским, так и зарубежным компаниям выстраивать действенное присутствие на китайском рынке. В портфель услуг фирмы входят аналитика рынка, стратегический и юридический консалтинг, локализация, маркетинговое продвижение, взаимодействие с китайскими средствами массовой информации, работа на цифровых площадках и проведение офлайн-мероприятий. Отличительными чертами корпорации служат доскональное знание рыночной среды, тонкое понимание культурной специфики и многолетний практический багаж.",detail_parsed,products,2026-08-24T05:32:09Z,china-commodity-fair-2026-gefera-public-catalog-signo-v1.0.1,gefera_icf26_public_catalog_count_all_ru,e58bf8dbcb4f292c424f141d2386baf4a99237a47fb3e95c1858948a64b5538b,source/detail_pages/detail_2b25d9be-e74c-2e37-1e1a-165e228cccde.html
China Commodity Fair 2026,25–27 августа 2026,"BEIJING TIO TRADING CO., LTD",Beijing Tio Trading,"подарки и товары для праздника, товары для дома и кухни",Китай,Москва,"Китай, China, Beijing, DREAM2049 International Cultural and Creative Industry Park - Building C16",1B35,1,Подарки и товары для праздника; Товары для дома и кухни,,-,,jennifer@tiodesign.cn,+86(187)1019-0293,https://online.gefera.ru/info/ICF26/catalog/408a3cad-cb38-a8ac-a901-9417c957f370/,408a3cad-cb38-a8ac-a901-9417c957f370,"Компания «Beijing Zhongcheng Tianao Trading», основанная в 2016 году и базирующаяся в пекинском районе Чаоян, является многопрофильным торговым предприятием, объединяющим экспортно-импортную деятельность, поставки строительных материалов, промышленного оборудования, автозапчастей и централизованные закупки товаров повседневного спроса. Накопив за годы работы глубокий опыт в сфере внутренних инженерных закупок и зарубежного импорта, организация располагает стабильными зарубежными каналами поставок, отечественной системой складирования и распределения, а также зрелыми ресурсами в области цепочек поставок. Это позволяет компании предоставлять комплексные услуги по единому снабжению, оптовым поставкам и внешнеторговому агентированию для муниципальных и инфраструктурных проектов, промышленных и горнодобывающих предприятий, авторемонтной отрасли и государственных заказчиков. Придерживаясь философии добросовестности, качества, честности и эффективного сервиса, фирма завоевала признание и доверие партнеров по всей стране благодаря экономически выгодной продукции и профессиональной поддержке.",detail_parsed,,2026-08-24T05:32:09Z,china-commodity-fair-2026-gefera-public-catalog-signo-v1.0.1,gefera_icf26_public_catalog_count_all_ru,1cb5c718802ace6e2fbdfb9a99ebcdfd06465665cc4e9ee2aba5799bb9c7c041,source/detail_pages/detail_408a3cad-cb38-a8ac-a901-9417c957f370.html
China Commodity Fair 2026,25–27 августа 2026,"BEIPOO ARTS & CRAFTS CO., LTD",Beipoo Arts & Crafts,"товары для спорта и фитнеса, детские товары и игрушки, подарки и товары для праздника, товары для сада и отдыха",Китай,Москва,"Китай, 315000, Нинбо, 18-й этаж, Международный центр «Хуахун». Улица Чжунсин, д. 717, район Иньчжоу",1F37,1,Товары для фитнеса и спорта; Детские товары и игрушки; Подарки и товары для праздника; Товары для сада и отдыха на природе,,БЕЙПУ,,info@beipoo.com,+86(574)5566-3228,https://online.gefera.ru/info/ICF26/catalog/12f628b5-839f-fcf0-82ce-83b8eeedaba5/,12f628b5-839f-fcf0-82ce-83b8eeedaba5,"Компания ""BEIPOO"", опираясь на двадцатилетний опыт в сфере разработки и производства, предлагает своим клиентам тщательно отобранную коллекцию игрушек, товаров для творчества, спортивных принадлежностей и садовых инструментов. Ассортимент организации охватывает широкий спектр направлений: от развивающих и STEM-наборов до сюжетно-ролевых игр. Продукция BEIPOO ARTS & CRAFTS CO., LTD неизменно стимулирует детское творчество, открывая перед ребенком безграничный простор для воображения и фантазии. Видение предприятия строится на таких ключевых ценностях, как увлеченность процессом, познание, создание атмосферы семейного веселья и единство. Сегодня корпорация продолжает активно работать в сфере деревянного производства и готова реализовать индивидуальные проекты любой сложности, гибко адаптируя различные категории деревянных изделий под растущие запросы своих заказчиков.",detail_parsed,,2026-08-24T05:32:09Z,china-commodity-fair-2026-gefera-public-catalog-signo-v1.0.1,gefera_icf26_public_catalog_count_all_ru,97af39f07e67b650e4f6f6af8056197f4ddfc03bd4fb49cf6f91d2d70cf30576,source/detail_pages/detail_12f628b5-839f-fcf0-82ce-83b8eeedaba5.html
China Commodity Fair 2026,25–27 августа 2026,"Beijing Housewares Industries, Ltd",Beijing Housewares Industries,товары для дома и кухни,Китай,Москва,"Китай, Пекин, Здание Сихуэй, район Чаоян",1G02,1,Товары для дома и кухни,,,http://www.wrh-housewares.cc,,,https://online.gefera.ru/info/ICF26/catalog/3beeaa46-5016-3cd4-b7e7-9eabf9a266ef/,3beeaa46-5016-3cd4-b7e7-9eabf9a266ef,"Компания «Beijing Housewares Industries», основанная в 1994 году, является мировым лидером в индустрии домашнего декора. Охватывая весь цикл от проектирования и производства до экспорта, предприятие выпускает разнообразные стильные, роскошные и повседневные изделия из стекла, металла и мрамора. На протяжении более чем двадцати лет Beijing Housewares Industries создает выдающуюся продукцию и поддерживает безупречную репутацию, предлагая клиентам непревзойденный премиальный сервис, основанный на самом профессиональном и надежном подходе.",detail_parsed,,2026-08-24T05:32:09Z,china-commodity-fair-2026-gefera-public-catalog-signo-v1.0.1,gefera_icf26_public_catalog_count_all_ru,6bfe0b00f7be2e88e491a5408f0e7f22fe5ef30628c205bcfb6a0a366d8a86a8,source/detail_pages/detail_3beeaa46-5016-3cd4-b7e7-9eabf9a266ef.html
China Commodity Fair 2026,25–27 августа 2026,"CHANGZHOU SHULE KITCHEN UTENSILS CO., LTD",Changzhou Shule Kitchen Utensils,"бытовая техника и электроника, товары для дома и кухни",Китай,Москва,"Россия, 213135, Changzhou, No 19 CUIPINGHU ROAD, XIXIASHU, XINBEI, CHANGZHOU, JIANGSU, CHINA",1F09,1,Бытовая техника и электроника; Товары для дома и кухни,,,http://www.shulechina.com,,,https://online.gefera.ru/info/ICF26/catalog/e0033d07-d74a-6d0c-d848-db2357d151f2/,e0033d07-d74a-6d0c-d848-db2357d151f2,"Завод компании «CHANGZHOU SHULE KITCHEN UTENSILS» находится на западе Чанчжоу провинции Цзянсу и уже более двадцати лет входит в число крупнейших мировых производителей машин для пасты. Предприятие насчитывает более 500 сотрудников и размещается на территории 78 000 квадратных метров. В ассортимент помимо паста-машин входят равиольницы, оборудование для печенья, овощерезки, аппараты для попкорна и вспомогательные аксессуары. Ежегодно свыше 1 800 000 машин для пасты отгружается в Европу, на Ближний Восток, в Юго-Восточную Азию, Австралию, Южную Америку и США, а постоянными партнерами выступают такие розничные сети, как ALDI и LIDL. Качество процессов подтверждено сертификатами ISO 9001 и ISO 14001, а готовые изделия имеют допуски CE, GS и UL.",detail_parsed,,2026-08-24T05:32:09Z,china-commodity-fair-2026-gefera-public-catalog-signo-v1.0.1,gefera_icf26_public_catalog_count_all_ru,113b7c8023d081a4ed4238b2d9d771de3afc40c47ed8c52d17920f5e2dba2301,source/detail_pages/detail_e0033d07-d74a-6d0c-d848-db2357d151f2.html
