event_name,event_dates,company_name,company_short_name,products,country,city,address,stand,pavilion,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version,source_sheet,source_detail_sha256,company_inn
CPM – Collection Première Moscow Осень 2026,1–4 сентября 2026,21 DOT 12,21 Dot 12,"одежда, аксессуары",,,,,,"Мода и стиль; женская, мужская и детская одежда; аксессуары; текстиль",,21 DOT 12,,,+7 495 955 91 99,https://md.expodat.com/companies/company/40393-21-dot-12.html,40393,21 DOT 12,parsed_detail,,2026-08-24T05:45:15Z,cpm-moscow-autumn-2026-expodat-signo-v1.0.1,expodat_cpm_2026_autumn_public_catalog,6e3f293d9991a631c3a293c7dadaa94b3047e9d306993a73ce7ef9be42448e82,
CPM – Collection Première Moscow Осень 2026,1–4 сентября 2026,3DS,3DS,одежда,Россия,,,,,"Мода и стиль; женская, мужская и детская одежда; аксессуары; текстиль","Бренд создает одежду как объект взаимодействия с владельцем, в ходе которого изделия приобретают индивидуальные особенности.",3DS,https://3dsbrand.ru/,3dsbrand@mail.ru,+7 495 955 91 99,https://md.expodat.com/companies/company/40387-3ds.html,40387,"3DS | Россия | Бренд создает одежду как объект взаимодействия с владельцем, в ходе которого изделия приобретают индивидуальные особенности. | https://3dsbrand.ru/ | 3dsbrand@mail.ru",parsed_detail,,2026-08-24T05:45:15Z,cpm-moscow-autumn-2026-expodat-signo-v1.0.1,expodat_cpm_2026_autumn_public_catalog,4114f27fce31885f44059796afe3a3c3139734210cafa744c166431ae555de0a,
CPM – Collection Première Moscow Осень 2026,1–4 сентября 2026,3W GREAT,3W Great,"нижнее белье и пляжная одежда, одежда",,,,13C56,,"Мода и стиль; женская, мужская и детская одежда; аксессуары; текстиль","Компания 3W.Great обладает первоклассными производственными мощностями и предлагает широкий ассортимент продукции, включая мужское и женское нижнее белье, термобелье, спортивную одежду (в том числе для йоги, бега и велоспорта), одежду для дома и многое другое.",3W GREAT,,,+7 495 955 91 99,https://md.expodat.com/companies/company/40372-3w-great.html,40372,"3W GREAT | 13C56 | Компания 3W.Great обладает первоклассными производственными мощностями и предлагает широкий ассортимент продукции, включая мужское и женское нижнее белье, термобелье, спортивную одежду (в том числе для йоги, бега и велоспорта), одежду для дома и многое другое.",parsed_detail,,2026-08-24T05:45:15Z,cpm-moscow-autumn-2026-expodat-signo-v1.0.1,expodat_cpm_2026_autumn_public_catalog,1f62110f773bf56c1d8a7b20171c881fc2b367b5332c596fb3e0c42f7762aae5,
CPM – Collection Première Moscow Осень 2026,1–4 сентября 2026,4РМ,4РМ,одежда,Россия,,,14D08,,"Мода и стиль; женская, мужская и детская одежда; аксессуары; текстиль",4PM — бренд женской одежды с собственным производством полного цикла: от разработки лекал до выпуска готовой коллекции,4РМ,https://4-pm.ru/,artkutuzovva@gmail.com,+7(928)458-18-00,https://md.expodat.com/companies/company/40408-4rm.html,40408,4РМ | Россия | 14D08 | 4PM — бренд женской одежды с собственным производством полного цикла: от разработки лекал до выпуска готовой коллекции | https://4-pm.ru/ | artkutuzovva@gmail.com,parsed_detail,,2026-08-24T05:45:15Z,cpm-moscow-autumn-2026-expodat-signo-v1.0.1,expodat_cpm_2026_autumn_public_catalog,42c0e6e0e85a5b5c5d0264368159dd756d3c1e3649d49d35a339e92f67fde053,
CPM – Collection Première Moscow Осень 2026,1–4 сентября 2026,ACCESSORIES-111,Accessories-111,аксессуары,Россия,,,15A59,,"Мода и стиль; женская, мужская и детская одежда; аксессуары; текстиль","Наша компания специализируемся на создании коллекций головных уборов и аксессуаров. Основными поставщиками тканей для наших изделий являются ведущие европейские производители тканей. Коллекции по праву можно считать уникальными, так как все изделия проходят обработку с учетом последних модных тенденций и цветовых приоритетов настоящего сезона. Наша компания специализируемся на создании коллекций головных уборов и аксессуаров. Основными поставщиками тканей для наших изделий являются ведущие европейские производители тканей. Коллекции по праву можно считать уникальными, так как все изделия проходят обработку с учетом последних модных тенденций и цветовых приоритетов настоящего сезона. Продукцию компании: головные уборы, галстуки, бабочки и платки, шарфы, палантины и кашне, можно заказать на выставках, приобрести оптом со склада или через наш сайт.",ACCESSORIES-111,http://www.accessories-111.ru,akceccuar@mail.ru,+7 495 955 91 99,https://md.expodat.com/companies/company/19914-accessories-111.html,19914,"ACCESSORIES-111 | Россия | 15A59 | Наша компания специализируемся на создании коллекций головных уборов и аксессуаров. Основными поставщиками тканей для наших изделий являются ведущие европейские производители тканей. Коллекции по праву можно считать уникальными, так как все изделия проходят обработку с учетом последних модных тенденций и цветовых приоритетов настоящего сезона. Наша компания специализируемся на создании коллекций головных уборов и аксессуаров. Основными поставщиками тканей для наших изделий являются ведущие европейские производители тканей. Коллекции по праву можно считать уникальными, так как все изделия проходят обработку с учетом последних модных тенденций и цветовых приоритетов настоящего сезона. Продукцию компании: головные уборы, галстуки, бабочки и платки, шарфы, палантины и кашне, можно заказать на выставках, приобрести оптом со склада или через наш сайт. | http://www.accessories-111.ru | akceccuar@mail.ru",parsed_detail,,2026-08-24T05:45:15Z,cpm-moscow-autumn-2026-expodat-signo-v1.0.1,expodat_cpm_2026_autumn_public_catalog,e9c4febb8a42db9738dfe33ab4ecdb55673aa04d9ff54fdfb7db7d577686a928,
CPM – Collection Première Moscow Осень 2026,1–4 сентября 2026,ACHOSA,Achosa,одежда,Беларусь,,,15C08,,"Мода и стиль; женская, мужская и детская одежда; аксессуары; текстиль","-Основана в 1997 году Творчество и технология – основа философии нашей компании. Европейский стиль, премиальное качество и безупречный сервис – такие ассоциации вызывает женская одежда «Ачоса» у своих поклонниц. Креативная команда успешно генерирует свежие идеи, что позволяет два раза в год предлагать вниманию покупателей сезонные коллекции «Весна-Лето», «Осень-Зима».",ACHOSA,https://achosa.by/,achosa@inbox.ru,+7 495 955 91 99,https://md.expodat.com/companies/company/20613-achosa.html,20613,"ACHOSA | Беларусь | 15C08 | -Основана в 1997 году Творчество и технология – основа философии нашей компании. Европейский стиль, премиальное качество и безупречный сервис – такие ассоциации вызывает женская одежда «Ачоса» у своих поклонниц. Креативная команда успешно генерирует свежие идеи, что позволяет два раза в год предлагать вниманию покупателей сезонные коллекции «Весна-Лето», «Осень-Зима». | https://achosa.by/ | achosa@inbox.ru",parsed_detail,,2026-08-24T05:45:15Z,cpm-moscow-autumn-2026-expodat-signo-v1.0.1,expodat_cpm_2026_autumn_public_catalog,1ca31cab75b5ebb6f12f0fb8c94d7518c1a6978f9fac762683ce44dfcdf16c4f,
CPM – Collection Première Moscow Осень 2026,1–4 сентября 2026,ACRE,ACRE,"одежда, аксессуары",Турция,,,14B58,,"Мода и стиль; женская, мужская и детская одежда; аксессуары; текстиль",,ACRE,,,+7 495 955 91 99,https://md.expodat.com/companies/company/40831-acre.html,40831,ACRE | Турция | 14B58,parsed_detail,,2026-08-24T05:45:15Z,cpm-moscow-autumn-2026-expodat-signo-v1.0.1,expodat_cpm_2026_autumn_public_catalog,28d66e96372e9516605d83832d79469d77407c1c5483681ddc85d6dbfb2fe125,
CPM – Collection Première Moscow Осень 2026,1–4 сентября 2026,AEOM,AEOM,"одежда, аксессуары",,,,13C39,,"Мода и стиль; женская, мужская и детская одежда; аксессуары; текстиль",,AEOM,,,+7 495 955 91 99,https://md.expodat.com/companies/company/41443-aeom.html,41443,AEOM | 13C39,parsed_detail,,2026-08-24T05:45:15Z,cpm-moscow-autumn-2026-expodat-signo-v1.0.1,expodat_cpm_2026_autumn_public_catalog,b388993780c0c539a0e135867e313d7ae0deb14798ee142b79a3c47b6c280f47,
CPM – Collection Première Moscow Осень 2026,1–4 сентября 2026,AJ81,AJ81,"одежда, аксессуары",Турция,,,14B49,,"Мода и стиль; женская, мужская и детская одежда; аксессуары; текстиль",,AJ81,,,+7 495 955 91 99,https://md.expodat.com/companies/company/36104-aj81.html,36104,AJ81 | Турция | 14B49,parsed_detail,,2026-08-24T05:45:15Z,cpm-moscow-autumn-2026-expodat-signo-v1.0.1,expodat_cpm_2026_autumn_public_catalog,8e2c96ad537d5be1c3b18ee362780adedefe0ad6ae6a0ac7c19ba357b620cdd6,
CPM – Collection Première Moscow Осень 2026,1–4 сентября 2026,AKFA,AKFA,,Россия,,,14F69,,"Мода и стиль; женская, мужская и детская одежда; аксессуары; текстиль","Компания AKFA специализируется на белой доставке одежды, обуви и аксессуаров из Китая, Турции и Европы. Обеспечивает полное сопровождение ВЭД, включая финансирование сделок, выкуп и доставку товара в любой город России. - Организация взаиморасчетов с зарубежным поставщиком; - Маркировка ""Честный Знак"" в момент производства; - Ежедневные отправки сборных и целых авто из Китая; - Полная сертификация коллекций; - Фулфилмент: Поставки товаров напрямую из Китая на ведущие маркетплейсы страны (Ozon, Wildberries, Lamoda). Компания AKFA специализируется на белой доставке одежды, обуви и аксессуаров из Китая, Турции и Европы. Обеспечивает полное сопровождение ВЭД, включая финансирование сделок, выкуп и доставку товара в любой город России. - Организация взаиморасчетов с зарубежным поставщиком; - Маркировка ""Честный Знак"" в момент производства; - Ежедневные отправки сборных и целых авто из Китая; - Полная сертификация коллекций; - Фулфилмент: Поставки товаров напрямую из Китая на ведущие маркетплейсы страны (Ozon, Wildberries, Lamoda). Акфа – Больше, чем логистика.",AKFA,https://akfa.ru,moscow@akfa.ru,8 (800) 200-01-58,https://md.expodat.com/companies/company/29575-akfa.html,29575,"AKFA | Россия | 14F69 | Компания AKFA специализируется на белой доставке одежды, обуви и аксессуаров из Китая, Турции и Европы. Обеспечивает полное сопровождение ВЭД, включая финансирование сделок, выкуп и доставку товара в любой город России. - Организация взаиморасчетов с зарубежным поставщиком; - Маркировка ""Честный Знак"" в момент производства; - Ежедневные отправки сборных и целых авто из Китая; - Полная сертификация коллекций; - Фулфилмент: Поставки товаров напрямую из Китая на ведущие маркетплейсы страны (Ozon, Wildberries, Lamoda). Компания AKFA специализируется на белой доставке одежды, обуви и аксессуаров из Китая, Турции и Европы. Обеспечивает полное сопровождение ВЭД, включая финансирование сделок, выкуп и доставку товара в любой город России. - Организация взаиморасчетов с зарубежным поставщиком; - Маркировка ""Честный Знак"" в момент производства; - Ежедневные отправки сборных и целых авто из Китая; - Полная сертификация коллекций; - Фулфилмент: Поставки товаров напрямую из Китая на ведущие маркетплейсы страны (Ozon, Wildberries, Lamoda). Акфа – Больше, чем логистика. | https://akfa.ru | moscow@akfa.ru",parsed_detail,products,2026-08-24T05:45:15Z,cpm-moscow-autumn-2026-expodat-signo-v1.0.1,expodat_cpm_2026_autumn_public_catalog,ed11bef524afac04cb3b6a9c50fb9439e15ba8191b1c24e40661592ffd45db98,
