event_name,company_name,company_short_name,stand,country,city,address,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version,source_sheet
Global Ingredients Show 2026,Очаковский комбинат пищевых ингредиентов,Очаковский Комбинат Пищевых Ингредиентов,,Россия,,,пищевые ингредиенты; пищевые добавки,Компания названа в Expomap article among participants presenting ingredients/additives.,,https://ochakovo-food.ru/,sales@okpi.ru,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-001,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,BioGrowing,BioGrowing,,Китай,,,пищевые ингредиенты; бады,Named participant; article mentions probiotic products.,,http://www.biogrowing.com/,cs@biogrowing.com,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-002,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Вкусарома,Вкусарома,,Россия,,,пищевые ингредиенты; пищевые добавки,Named participant; food flavor/aroma ingredient supplier.,,https://vkusaroma.ru/,info@vkusaroma.ru,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-003,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Экос,Экос,,Россия,,,пищевые ингредиенты,Named participant; exact public website not confidently identified during this run.,,,,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-004,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,website; public_email,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Аметис,Аметис,,Россия,,,бады; натуральные ингредиенты,Named participant; verified public site describes own production of BAA and natural components.,,https://www.ametis.ru/,,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-005,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,public_email,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Wecare-Probiotics,Wecare-Probiotics,,Китай,,,пищевые ингредиенты; бады,Named participant; article mentions probiotic products.,,,,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-006,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,website; public_email,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Bigtree Group,Bigtree Group,,Китай,,,пищевые ингредиенты,Named participant; public site candidate found but exact exhibitor-source detail unavailable.,,https://bigtree-group.com/,,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-007,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,public_email,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,ГК ЕТС,ЕТС,,Россия,,,сырье; косметическая промышленность; пищевые ингредиенты,"Named participant; likely ingredients/raw-material supplier, public website not confidently identified.",,,,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-008,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,website; public_email,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Протек-СВМ,Протек-СВМ,,Россия,,,сырье; косметическая промышленность,"Named participant; likely raw-material supplier, public website not confidently identified.",,,,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-009,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,website; public_email,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Ревада,Ревада,,Россия,,,сырье; косметическая промышленность; пищевые ингредиенты,Named participant; verified public site describes supply of raw materials for production.,,https://revada-group.com/,info@revada-group.com,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-010,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
