event_name,event_dates,company_name,company_short_name,products,country,city,address,stand,pavilion,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,alpha_filter,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version,short_name_check,products_check,qa_notes,signo_status,repeat_reason,matched_crm_email,matched_crm_domain,matched_crm_company,candidate_emails,candidate_top_domains,source_sheet,source_removed_reason,website_email_status,website_email_source_url,website_email_notes,main email,main_email_reason
HouseHold Expo. Осень 2026,8–10 сентября 2026,"ООО ""ВЕГА""","""Вега""",кухонные принадлежности; системы хранения и органайзеры; товары для уборки и хозтовары; товары для дачи и благоустройства,Россия,Москва,,10D3-01,"Крокус Экспо, Павильон 2, залы 9-10-11","Аксессуары и инструменты для кухни; Системы хранения, органайзеры; Хозтовары и уборка; Дача и благоустройство","NORDWALL — российский производитель товаров для дома с полным циклом на собственном заводе в Орле. Основные компетенции: лазерная резка листового металла, штамповка, MIG/MAG-сварка, 3D-гибка стальной проволоки на ЧПУ, порошковая покраска. Четыре продуктовых направления, 54 артикула: • Сушилки для белья (14 моделей) — напольные складные, с крыльями, вертикальные-башни. Стойкие покрытия, надёжные шарниры... NORDWALL — российский производитель товаров для дома с полным циклом на собственном заводе в Орле. Основные компетенции: лазерная резка листового металла, штамповка, MIG/MAG-сварка, 3D-гибка стальной проволоки на ЧПУ, порошковая покраска. Четыре продуктовых направления, 54 артикула: • Сушилки для белья (14 моделей) — напольные складные, с крыльями, вертикальные-башни. Стойкие покрытия, надёжные шарниры. • Полки и этажерки (14 моделей) — линейки Zeta и Zeta Pro для кухни, ванной и хозблока. Модульные, регулируемые по высоте. • Кухонные аксессуары (9 наименований) — подвесные корзины, органайзеры для крышек, специй, полотенец, универсальные держатели. • Сад и огород (17 наименований) — шпалеры Мелодия и Ёлочка для вьющихся растений, опорные сетки, модульные конструкции для теплиц и клумб. Что предлагаем партнёрам: оптовые цены от 1 паллеты, гибкая упаковка (для розницы и маркетплейсов), брендирование под СТМ, интеграция с логистикой Apiship, ежедневные отгрузки. Работаем с торговыми сетями («Светофор», «Порядок», «Галацентр»), маркетплейсами (Ozon, Wildberries, М.Видео), региональными дистрибьюторами. Сайт: nordorel.com. Email: orel@nordorel.ru.",,https://nordorel.com,orel@nordorel.ru,+7 910 302-78-66,https://catalog.hhexpo.ru/companies/company/156483-vega.html,156483,keep,"ООО ""ВЕГА"" | Россия | 10D3-01 | NORDWALL — российский производитель товаров для дома с полным циклом на собственном заводе в Орле. Основные компетенции: лазерная резка листового металла, штамповка, MIG/MAG-сварка, 3D-гибка стальной проволоки на ЧПУ, порошковая покраска. Четыре продуктовых направления, 54 артикула: • Сушилки для белья (14 моделей) — напольные складные, с крыльями, вертикальные-башни. Стойкие покрытия, надёжные шарниры... NORDWALL — российский производитель товар | categories: Аксессуары и инструменты для кухни; Системы хранения, органайзеры; Хозтовары и уборка; Дача и благоустройство",parsed,,2026-08-24T05:47:21Z,household-expo-autumn-2026-official-catalog-signo-v1.0.1,ok,ok,Russia row with qualifying HouseHold Expo product/category evidence; incidental service/logistics/marketing/design words were ignored.,repeat,exact normalized email matched current Twenty repeat index,orel@nordorel.ru,,Норд Севрис,orel@nordorel.ru,nordorel.ru; nordorel.com,official catalog detail,,catalog_email_present,,public email visible in official catalogue detail,orel@nordorel.ru,public catalogue/contact email
HouseHold Expo. Осень 2026,8–10 сентября 2026,"ООО ""МЕРКУРИЙ""","""Меркурий""",товары для уборки и хозтовары,Россия,Москва,,10D3-02,"Крокус Экспо, Павильон 2, залы 9-10-11",Хозтовары и уборка,"Динамично развивающаяся с 2018 года компания ООО «Меркурий» является поставщиком хозяйственных товаров нескольких товарных знаков: Милые мелочи, Мелочи жизни, Королева чистоты, маркировки Акция. Компания постоянно совершенствует процессы управления и контроля, улучшает торговые условия и качество поставок, что является неотъемлемой частью наращивания темпов производства и движения вперед. За время работы мы зарекомендовали себя как производитель и надежный поставщик... Динамично развивающаяся с 2018 года компания ООО «Меркурий» является поставщиком хозяйственных товаров нескольких товарных знаков: Милые мелочи, Мелочи жизни, Королева чистоты, маркировки Акция. Компания постоянно совершенствует процессы управления и контроля, улучшает торговые условия и качество поставок, что является неотъемлемой частью наращивания темпов производства и движения вперед. За время работы мы зарекомендовали себя как производитель и надежный поставщик. Мы стремимся представлять на рынке продукцию с улучшенными по качеству характеристиками в широком ассортименте:  строительные губки,  губки для автомобилей  губки кухонные,  скребки металлические для посуды,  салфетки вискозные и целлюлозные,  пакеты для мусора,  товары личной гигиены и др. Направление работы:  Собственное производство продукции из поролона (г. Чехов)  Производство изделий под СТМ  Продажа продукции компании по следующим направлениям: торговые сети, предприятия розничной торговли, оптовые продажи, корпоративные продажи.",,http://www.mercuriy.ltd,sales@mercuriy.ltd,+79966971746,https://catalog.hhexpo.ru/companies/company/156585-merkurij.html,156585,keep,"ООО ""МЕРКУРИЙ"" | Россия | 10D3-02 | Динамично развивающаяся с 2018 года компания ООО «Меркурий» является поставщиком хозяйственных товаров нескольких товарных знаков: Милые мелочи, Мелочи жизни, Королева чистоты, маркировки Акция. Компания постоянно совершенствует процессы управления и контроля, улучшает торговые условия и качество поставок, что является неотъемлемой частью наращивания темпов производства и движения вперед. За время работы мы зарекомендовали себя как производитель | categories: Хозтовары и уборка",parsed,,2026-08-24T05:47:21Z,household-expo-autumn-2026-official-catalog-signo-v1.0.1,ok,ok,Russia row with qualifying HouseHold Expo product/category evidence; incidental service/logistics/marketing/design words were ignored.,new,,,,,sales@mercuriy.ltd,mercuriy.ltd,official catalog detail,,catalog_email_present,,public email visible in official catalogue detail,sales@mercuriy.ltd,public catalogue/contact email
HouseHold Expo. Осень 2026,8–10 сентября 2026,BRONX & LoCo Cookers by BRONX,BRONX & LoCo Cookers by BRONX,товары для дачи и благоустройства,Россия,Москва,,11B3-04,"Крокус Экспо, Павильон 2, залы 9-10-11",Дача и благоустройство,"BRONX - это премиальный бренд газовых, угольных грилей и смокеров, созданный для тех, кто ценит контроль, инженерную точность и долговечность. Мы разрабатываем оборудование, в котором каждая деталь подчинена результату: стабильная температура, продуманная конструкция и надежные материалы. В линейке представлены стационарные и портативные модели, а также решения для профессионального и частного использования. BRONX - это техника, которая превращает приготовление на огне в управляемый процесс.",,https://bbqexpert.ru/,info@bbqexpert.ru,+79936214088,https://catalog.hhexpo.ru/companies/company/156471-bajer.html,156471,keep,"BRONX & LoCo Cookers by BRONX | Россия | 11B3-04 | BRONX - это премиальный бренд газовых, угольных грилей и смокеров, созданный для тех, кто ценит контроль, инженерную точность и долговечность. Мы разрабатываем оборудование, в котором каждая деталь подчинена результату: стабильная температура, продуманная конструкция и надежные материалы. В линейке представлены стационарные и портативные модели, а также решения для профессионального и частного использования. BRONX - это техника, которая превращае | categories: Дача и благоустройство",parsed,,2026-08-24T05:47:11Z,household-expo-autumn-2026-official-catalog-signo-v1.0.1,ok,ok,Russia row with qualifying HouseHold Expo product/category evidence; incidental service/logistics/marketing/design words were ignored.,new,,,,,info@bbqexpert.ru,bbqexpert.ru,official catalog detail,,catalog_email_present,,public email visible in official catalogue detail,info@bbqexpert.ru,public catalogue/contact email
HouseHold Expo. Осень 2026,8–10 сентября 2026,Bruno Visconti (ООО «АЛЬТ»),Bruno Visconti (ООО «АЛЬТ»),сервировочная посуда; кухонные принадлежности; домашний текстиль; декор и предметы интерьера,Россия,Москва,,11L1-04,"Крокус Экспо, Павильон 2, залы 9-10-11","Посуда для сервировки; Аксессуары и инструменты для кухни; Домашний текстиль; Декор, оформление и предметы интерьера","Bruno Visconti — бренд, который превращает окружающие предметы в источник вдохновения и хорошего настроения. Мы верим, что вещи, сопровождающие нас каждый день, способны задавать настроение, подчёркивать индивидуальность и дарить радость — будь то элегантный блокнот на рабочем столе или первая школьная тетрадь. Начав с создания стильной канцелярии и аксессуаров, сегодня мы последовательно расширяем ассортимент на пространство дома: в коллекциях появляются текстиль, кухонные принадлежности, посуда и предметы сервировки, лайфстайл-аксессуары... Bruno Visconti — бренд, который превращает окружающие предметы в источник вдохновения и хорошего настроения. Мы верим, что вещи, сопровождающие нас каждый день, способны задавать настроение, подчёркивать индивидуальность и дарить радость — будь то элегантный блокнот на рабочем столе или первая школьная тетрадь. Начав с создания стильной канцелярии и аксессуаров, сегодня мы последовательно расширяем ассортимент на пространство дома: в коллекциях появляются текстиль, кухонные принадлежности, посуда и предметы сервировки, лайфстайл-аксессуары. Наша цель — стирать границы между простой функциональностью и премиальными предметами быта, предлагая цельный эстетический опыт от рабочего стола до кухни. Мы тщательно отбираем материалы, разрабатываем уникальные авторские принты и паттерны и следим за мировыми тенденциями дизайна, чтобы каждый продукт сочетал визуальную выразительность, приятную тактильность и безупречное качество исполнения. Наши изделия создают уют, подчёркивают индивидуальность и становятся идеальным подарком — от нового ежедневника к важному жизненному этапу до сервировочного аксессуара, обновляющего пространство дома. Продукция Bruno Visconti премиального сегмента ориентирована на розничных покупателей, ценящих стиль в каждой детали, а также на подарочные линейки и сезонные коллекции. Мы стремимся стать брендом первого выбора для тех, кто хочет окружить себя красивыми вещами и находить радость в мелочах повседневной жизни.",,https://alt-online.ru/,secretary@altplus.ru,+7 (495) 981-99-00,https://catalog.hhexpo.ru/companies/company/160788-alt.html,160788,keep,"Bruno Visconti (ООО «АЛЬТ») | Россия | 11L1-04 | Bruno Visconti — бренд, который превращает окружающие предметы в источник вдохновения и хорошего настроения. Мы верим, что вещи, сопровождающие нас каждый день, способны задавать настроение, подчёркивать индивидуальность и дарить радость — будь то элегантный блокнот на рабочем столе или первая школьная тетрадь. Начав с создания стильной канцелярии и аксессуаров, сегодня мы последовательно расширяем ассортимент на пространство дома: в коллекциях п | categories: Посуда для сервировки; Аксессуары и инструменты для кухни; Домашний текстиль; Декор, оформление и предметы интерьера",parsed,,2026-08-24T05:48:20Z,household-expo-autumn-2026-official-catalog-signo-v1.0.1,ok,ok,Russia row with qualifying HouseHold Expo product/category evidence; incidental service/logistics/marketing/design words were ignored.,new,,,,,secretary@altplus.ru,altplus.ru; alt-online.ru,official catalog detail,,catalog_email_present,,public email visible in official catalogue detail,secretary@altplus.ru,public catalogue/contact email
HouseHold Expo. Осень 2026,8–10 сентября 2026,Helios Smart,Helios Smart,бытовая техника и электроника; товары для дачи и благоустройства,Россия,Москва,,11C4-03,"Крокус Экспо, Павильон 2, залы 9-10-11",Бытовая техника и электроника; Дача и благоустройство,"ТОНАР — сибирская инженерно‑производственная компания с 37‑летним опытом и собственным заводом полного цикла. Бренд Helios Smart создан как промышленная платформа уличного оборудования для гриля и барбекю: модульная архитектура позволяет формировать решения под разные форматы — от базового гриль‑модуля до комплексной уличной кухни с газовым или угольным грилем, печью под казан, варочной поверхностью и встроенными шкафами... ТОНАР — сибирская инженерно‑производственная компания с 37‑летним опытом и собственным заводом полного цикла. Бренд Helios Smart создан как промышленная платформа уличного оборудования для гриля и барбекю: модульная архитектура позволяет формировать решения под разные форматы — от базового гриль‑модуля до комплексной уличной кухни с газовым или угольным грилем, печью под казан, варочной поверхностью и встроенными шкафами. В линейке — более 30 готовых кухонь и широкий ассортимент модулей для индивидуальных конфигураций. Производство ведётся на высокотехнологичном оборудовании (лазерная резка, ЧПУ, роботизированная сварка, автоматическая полимерная покраска) с коррозионно‑стойкими материалами и многоступенчатым контролем качества, что обеспечивает долговечность изделий в любых климатах. Автоматизированные склады и логистика (Барнаул — Москва) поддерживают оперативные поставки и сервисное обслуживание. Для дистрибьюторов, проектных организаций и промышленных партнёров Helios Smart предлагает гибкость конфигураций, адаптацию под техническое задание, высокий производственный потенциал и гарантии стабильного качества, вытекающие из инженерной школы ТОНАР.",,http://www.tonar.su,melehinavv@mega-shop.su,8-962-791-24-82,https://catalog.hhexpo.ru/companies/company/156705-tonar.html,156705,keep,"Helios Smart | Россия | 11C4-03 | ТОНАР — сибирская инженерно‑производственная компания с 37‑летним опытом и собственным заводом полного цикла. Бренд Helios Smart создан как промышленная платформа уличного оборудования для гриля и барбекю: модульная архитектура позволяет формировать решения под разные форматы — от базового гриль‑модуля до комплексной уличной кухни с газовым или угольным грилем, печью под казан, варочной поверхностью и встроенными шкафами... ТОНАР — сибирская инже | categories: Бытовая техника и электроника; Дача и благоустройство",parsed,,2026-08-24T05:47:10Z,household-expo-autumn-2026-official-catalog-signo-v1.0.1,ok,ok,Russia row with qualifying HouseHold Expo product/category evidence; incidental service/logistics/marketing/design words were ignored.,repeat,company-owned domain matched current Twenty repeat index,,tonar.su,Тонар,melehinavv@mega-shop.su,mega-shop.su; tonar.su,official catalog detail,,catalog_email_present,,public email visible in official catalogue detail,melehinavv@mega-shop.su,public catalogue/contact email
HouseHold Expo. Осень 2026,8–10 сентября 2026,HitMixPro,HitMixPro,системы хранения и органайзеры; декор и предметы интерьера; товары для дачи и благоустройства,Россия,Москва,,10D2-07,"Крокус Экспо, Павильон 2, залы 9-10-11","Системы хранения, органайзеры; Декор, оформление и предметы интерьера; Дача и благоустройство","HitMixPro — российский производитель металлических изделий для дома, сада, хранения и отдыха. Мы разрабатываем и производим практичные, надёжные и функциональные решения из металла, рассчитанные на длительное использование. В ассортимент компании входят настенные системы хранения, перфорированные панели, держатели для садового инвентаря, полки, крючки и вешалки, держатели для кашпо, изделия для обустройства дома и приусадебного участка, а также металлические товары для отдыха на природе... HitMixPro — российский производитель металлических изделий для дома, сада, хранения и отдыха. Мы разрабатываем и производим практичные, надёжные и функциональные решения из металла, рассчитанные на длительное использование. В ассортимент компании входят настенные системы хранения, перфорированные панели, держатели для садового инвентаря, полки, крючки и вешалки, держатели для кашпо, изделия для обустройства дома и приусадебного участка, а также металлические товары для отдыха на природе. Мы контролируем все основные этапы производства: от разработки конструкции и подготовки металла до покраски, комплектации и упаковки готовой продукции. Используем качественный металл, оцинкованную сталь и износостойкое порошковое покрытие. Особое внимание уделяем прочности изделий, удобству монтажа, функциональности и современному дизайну. HitMixPro сотрудничает с оптовыми покупателями, торговыми сетями, дистрибьюторами и маркетплейсами. Предлагаем серийное производство, оптовые поставки, разработку новых изделий и изготовление продукции под собственной торговой маркой заказчика — СТМ. Открыты к долгосрочному сотрудничеству и готовы адаптировать продукцию, комплектацию и упаковку под требования партнёров.",,https://hitmix-metall.ru,mchembulatov@inbox.ru,+79536660846,https://catalog.hhexpo.ru/companies/company/156714-chembulatov.html,156714,keep,"HitMixPro | Россия | 10D2-07 | HitMixPro — российский производитель металлических изделий для дома, сада, хранения и отдыха. Мы разрабатываем и производим практичные, надёжные и функциональные решения из металла, рассчитанные на длительное использование. В ассортимент компании входят настенные системы хранения, перфорированные панели, держатели для садового инвентаря, полки, крючки и вешалки, держатели для кашпо, изделия для обустройства дома и приусадебного участка, а также м | categories: Системы хранения, органайзеры; Декор, оформление и предметы интерьера; Дача и благоустройство",parsed,,2026-08-24T05:47:11Z,household-expo-autumn-2026-official-catalog-signo-v1.0.1,ok,ok,Russia row with qualifying HouseHold Expo product/category evidence; incidental service/logistics/marketing/design words were ignored.,new,,,,,mchembulatov@inbox.ru,hitmix-metall.ru,official catalog detail,,catalog_email_present,,public email visible in official catalogue detail,mchembulatov@inbox.ru,public catalogue/contact email
HouseHold Expo. Осень 2026,8–10 сентября 2026,KUKMARA,Kukmara,посуда для приготовления,Россия,Москва,,11G2-01,"Крокус Экспо, Павильон 2, залы 9-10-11",Посуда для приготовления,"Кукморский завод Металлопосуды выпускает продукцию с 1950 года. Сеть дистрибьюции нашей компании довольно широкая: более 400 партнёров в 89 регионах России и 11 странах зарубежья. Доля производства продукции KUKMARA на российском рынке более 20%. Продажи ежегодно продолжают расти. KUKMARA – стабильный и надёжный партнёр с качественным производством, высоким уровнем сервиса и бесперебойными поставками.",,https://kukmara.com/,marketing@kukmara.com,8(84364)26242,https://catalog.hhexpo.ru/companies/company/156564-kukmora.html,156564,keep,"KUKMARA | Россия | 11G2-01 | Кукморский завод Металлопосуды выпускает продукцию с 1950 года. Сеть дистрибьюции нашей компании довольно широкая: более 400 партнёров в 89 регионах России и 11 странах зарубежья. Доля производства продукции KUKMARA на российском рынке более 20%. Продажи ежегодно продолжают расти. KUKMARA – стабильный и надёжный партнёр с качественным производством, высоким уровнем сервиса и бесперебойными поставками. | categories: Посуда для приготовления",parsed,,2026-08-24T05:47:11Z,household-expo-autumn-2026-official-catalog-signo-v1.0.1,ok,ok,Russia row with qualifying HouseHold Expo product/category evidence; incidental service/logistics/marketing/design words were ignored.,repeat,company-owned domain matched current Twenty repeat index,,kukmara.com,Кукморский Завод Металлопосуды,marketing@kukmara.com,kukmara.com,official catalog detail,,catalog_email_present,,public email visible in official catalogue detail,marketing@kukmara.com,public catalogue/contact email
HouseHold Expo. Осень 2026,8–10 сентября 2026,SATE,SATE,сервировочная посуда,Россия,Москва,,9С4-01,"Крокус Экспо, Павильон 2, залы 9-10-11",Посуда для сервировки,"Небьющаяся посуда SATE — это современный взгляд на посуду, созданную для жизни в движении. Мы верим, что прочность и лёгкость могут идти рука об руку. Каждая деталь SATE объединяет в себе изящество формы, надёжность и удобство в использовании. 25-летний опыт, накопленный в литье пластиковых изделий под брендом ЕВРОПАРТНЕР, позволил нам добиться уровня, сравнимого с лучшими мировыми стандартами... Небьющаяся посуда SATE — это современный взгляд на посуду, созданную для жизни в движении. Мы верим, что прочность и лёгкость могут идти рука об руку. Каждая деталь SATE объединяет в себе изящество формы, надёжность и удобство в использовании. 25-летний опыт, накопленный в литье пластиковых изделий под брендом ЕВРОПАРТНЕР, позволил нам добиться уровня, сравнимого с лучшими мировыми стандартами. От изготовления пресс-формы до коробки — полный цикл производства в России. Сегодня опыт, знания и инженерная точность воплощены в посуде SATE. Мы создаем небьющуюся посуду с заботой об экологии. Благодаря многоразовому использованию, вы снижаете количество отходов и заботитесь о природе. Один стакан SATE избавляет от 15 кг пластиковых отходов. Небьющаяся посуда SATE служит долго, сохраняя вид и форму даже при активном использовании. Продукция имеет декларацию соответствия.",,https://sateglass.ru/,sate@europartner.su,+7 (812) 448 18 70,https://catalog.hhexpo.ru/companies/company/158580-evropartner.html,158580,keep,"SATE | Россия | 9С4-01 | Небьющаяся посуда SATE — это современный взгляд на посуду, созданную для жизни в движении. Мы верим, что прочность и лёгкость могут идти рука об руку. Каждая деталь SATE объединяет в себе изящество формы, надёжность и удобство в использовании. 25-летний опыт, накопленный в литье пластиковых изделий под брендом ЕВРОПАРТНЕР, позволил нам добиться уровня, сравнимого с лучшими мировыми стандартами... Небьющаяся посуда SATE — это современный взгляд на | categories: Посуда для сервировки",parsed,,2026-08-24T05:47:10Z,household-expo-autumn-2026-official-catalog-signo-v1.0.1,ok,ok,Russia row with qualifying HouseHold Expo product/category evidence; incidental service/logistics/marketing/design words were ignored.,repeat,company-owned domain matched current Twenty repeat index,,europartner.su,Европартнер,sate@europartner.su,europartner.su; sateglass.ru,official catalog detail,,catalog_email_present,,public email visible in official catalogue detail,sate@europartner.su,public catalogue/contact email
HouseHold Expo. Осень 2026,8–10 сентября 2026,«ЕВРОСТЕК ГРУПП» ООО,«Евростек Групп» ООО,посуда для приготовления; бытовая техника и электроника,Россия,Москва,,11С4-02,"Крокус Экспо, Павильон 2, залы 9-10-11",Посуда для приготовления; Бытовая техника и электроника,"Eurostek Group, основанная в 1995 году, прошла путь от дистрибьютора бытовой техники до лидера оптовых поставок товаров народного потребления в России и СНГ. С 2001 года мы развиваем собственное производство в России, Китае и Турции. Наш 30-летний опыт, постоянный анализ рынка, отлаженные логистика и производство гарантируют высокое качество и доступные цены. Мы работаем с корпоративными клиентами, розничными сетями и интернет-магазинами, предлагая высокий уровень сервиса и конкурентные условия.",,https://eurostek-group.ru/,info@eurostek-group.ru,+7 (495) 121-70-75,https://catalog.hhexpo.ru/companies/company/160299-evrostek.html,160299,keep,"«ЕВРОСТЕК ГРУПП» ООО | Россия | 11С4-02 | Eurostek Group, основанная в 1995 году, прошла путь от дистрибьютора бытовой техники до лидера оптовых поставок товаров народного потребления в России и СНГ. С 2001 года мы развиваем собственное производство в России, Китае и Турции. Наш 30-летний опыт, постоянный анализ рынка, отлаженные логистика и производство гарантируют высокое качество и доступные цены. Мы работаем с корпоративными клиентами, розничными сетями и интернет-магазинами, предлаг | categories: Посуда для приготовления; Бытовая техника и электроника",parsed,,2026-08-24T05:47:11Z,household-expo-autumn-2026-official-catalog-signo-v1.0.1,ok,ok,Russia row with qualifying HouseHold Expo product/category evidence; incidental service/logistics/marketing/design words were ignored.,new,,,,,info@eurostek-group.ru,eurostek-group.ru,official catalog detail,,catalog_email_present,,public email visible in official catalogue detail,info@eurostek-group.ru,public catalogue/contact email
HouseHold Expo. Осень 2026,8–10 сентября 2026,АЛТЕЙ,АЛТЕЙ,посуда для приготовления,Россия,Москва,,11L2-02,"Крокус Экспо, Павильон 2, залы 9-10-11",Посуда для приготовления,Производитель литой алюминиевой посуды с антипригарным покрытием.,,,sale@altei-store.ru,79960460669,https://catalog.hhexpo.ru/companies/company/156441-altej.html,156441,keep,АЛТЕЙ | Россия | 11L2-02 | Производитель литой алюминиевой посуды с антипригарным покрытием. | categories: Посуда для приготовления,parsed,,2026-08-24T05:47:12Z,household-expo-autumn-2026-official-catalog-signo-v1.0.1,ok,ok,Russia row with qualifying HouseHold Expo product/category evidence; incidental service/logistics/marketing/design words were ignored.,new,,,,,sale@altei-store.ru,altei-store.ru,official catalog detail,,catalog_email_present,,public email visible in official catalogue detail,sale@altei-store.ru,public catalogue/contact email
