event_name,company_name,company_short_name,products,country,city,address,stand,pavilion,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,evidence_snippet,source_sheet,parse_status,missing_fields,scraped_at,parser_version,company_legal,company_inn,company_ogrn,company_okved,company_okved_description,director_name,director_role,revenue_mln,revenue_year,net_profit_mln,net_profit_year,requisites_source,requisites_confidence,requisites_comment,target,telegram_payload
ИнтерАвтоМеханика 2026,"Airui Automotive Technology (Harbin) Co., Ltd.","Airui Automotive Technology (Harbin) Co., Ltd.",Запчасти и компоненты; Аккумуляторы и электроника; Аксессуары и тюнинг,Китай,,,8-602,Зал 8,Запчасти и компоненты; Аккумуляторы и электроника; Аксессуары и тюнинг,AIRUI была основана в 1989 году，интеграция научных исследований，производства и продаж，специализируется на новых ресурсных автомобильных выхлопных системах、Заправочных трубах、трубах охлаждения двигателя，а также на системах управления тепловым режимом и NVH для электромобилей.,,http://www.chinaairui.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#154692-airui-automotive-technology-harbin-co-ltd,154692-airui-automotive-technology-harbin-co-ltd,Запчасти и компоненты; Аккумуляторы и электроника; Аксессуары и тюнинг | AIRUI была основана в 1989 году，интеграция научных исследований，производства и продаж，специализируется на новых ресурсных автомобильных выхлопных системах、Заправочных трубах、трубах охлаждения двигателя，а также на системах управления тепловым режимом и NVH для электромобилей.,interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_154692
ИнтерАвтоМеханика 2026,ANHUI JEM TECHNOLOGY DEVELOPMENT CO.，LTD,ANHUI JEM TECHNOLOGY DEVELOPMENT CO.，LTD,Запчасти и компоненты; Аккумуляторы и электроника; Аксессуары и тюнинг,Китай,,,8-830.1,Зал 8,Запчасти и компоненты; Аккумуляторы и электроника; Аксессуары и тюнинг,,,https://jemfilm.com/,,,https://interauto-mechanica-floorplans-2026.pages.dev/#156774-anhui-jem-technology-development-co-ltd,156774-anhui-jem-technology-development-co-ltd,Запчасти и компоненты; Аккумуляторы и электроника; Аксессуары и тюнинг,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_156774
ИнтерАвтоМеханика 2026,"Anhui Jinde Lubrication Technology Co.,Ltd.","Anhui Jinde Lubrication Technology Co.,Ltd.","Смазочные материалы, технические жидкости и автохимия",Китай,,,7-647,Зал 7,"Смазочные материалы, технические жидкости и автохимия",,,http://www.ahjdsh.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#159945-anhui-jinde-lubrication-technology-co-ltd,159945-anhui-jinde-lubrication-technology-co-ltd,"Смазочные материалы, технические жидкости и автохимия",interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_159945
ИнтерАвтоМеханика 2026,"Anhui RRT Auto Parts Co., Ltd","Anhui RRT Auto Parts Co., Ltd",Запчасти и компоненты,Китай,,,7-744,Зал 7,Запчасти и компоненты,,,http://www.rrtgroup.cn/,,,https://interauto-mechanica-floorplans-2026.pages.dev/#155379-anhui-rrt-auto-parts-co-ltd,155379-anhui-rrt-auto-parts-co-ltd,Запчасти и компоненты,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_155379
ИнтерАвтоМеханика 2026,"Anhui Shangzhong Piston Ring Co.,Ltd","Anhui Shangzhong Piston Ring Co.,Ltd",Запчасти и компоненты,Китай,,,8-806,Зал 8,Запчасти и компоненты,"An Hui Shang Zhong поршневое кольцо Co., Ltd была основана в 1994. Фабрика переехала из провинции Чжэцзян в провинцию Аньхуй в 2007 году, фабрика охватывает площадь 35000 квадратных метров; площадь строительства составляет 25000 квадратных метров. В настоящее время в нашей компании работает более 200 сотрудников, в которых техники занимают более 20%.",,http://www.szcnpr.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#155547-anhui-shangzhong-piston-ring-co-ltd,155547-anhui-shangzhong-piston-ring-co-ltd,"Запчасти и компоненты | An Hui Shang Zhong поршневое кольцо Co., Ltd была основана в 1994. Фабрика переехала из провинции Чжэцзян в провинцию Аньхуй в 2007 году, фабрика охватывает площадь 35000 квадратных метров; площадь строительства составляет 25000 квадратных метров. В настоящее время в нашей компании работает более 200 сотрудников, в которых техники занимают более 20%.",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_155547
ИнтерАвтоМеханика 2026,"Aonaisi Auto Parts Co., Ltd","Aonaisi Auto Parts Co., Ltd",,Китай,,,7-472,Зал 7,,,,http://www.aonaisi.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#158673-aonaisi-auto-parts-co-ltd,158673-aonaisi-auto-parts-co-ltd,,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_158673
ИнтерАвтоМеханика 2026,Arnezi,Arnezi,"Запчасти и компоненты; Аккумуляторы и электроника; Смазочные материалы, технические жидкости и автохимия; Аксессуары и тюнинг; Гаражное оборудование",Россия,,,8-465,Зал 8,"Запчасти и компоненты; Аккумуляторы и электроника; Смазочные материалы, технические жидкости и автохимия; Аксессуары и тюнинг; Гаражное оборудование","ARNEZI — широкий выбор аксессуаров, инструмента и оборудования для ухода, ремонта и тюнинга авто. Инновации, многоуровневая проверка продукции и ориентация на потребности рынка делают бренд востребованным у клиентов.",,,,,https://interauto-mechanica-floorplans-2026.pages.dev/#156825-arnezi,156825-arnezi,"Запчасти и компоненты; Аккумуляторы и электроника; Смазочные материалы, технические жидкости и автохимия; Аксессуары и тюнинг; Гаражное оборудование | ARNEZI — широкий выбор аксессуаров, инструмента и оборудования для ухода, ремонта и тюнинга авто. Инновации, многоуровневая проверка продукции и ориентация на потребности рынка делают бренд востребованным у клиентов.",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Надежное российское юрлицо не найдено.,нет,interautomechanica2026_deal_156825
ИнтерАвтоМеханика 2026,AUTOPLASTIC,AUTOPLASTIC,Запчасти и компоненты,Россия,,,7-325,Зал 7,Запчасти и компоненты,ООО «Автопластик» (бренд AUTOPLASTIC) — российский производитель бачков омывателя и расширительных бачков для систем охлаждения. Продукция соответствует OEM-стандартам по материалам и посадке благодаря контролю качества на всех этапах и применению первичного сырья.,,http://bachokomiva.ru/,,,https://interauto-mechanica-floorplans-2026.pages.dev/#153858-avtoplastik-ooo,153858-avtoplastik-ooo,Запчасти и компоненты | ООО «Автопластик» (бренд AUTOPLASTIC) — российский производитель бачков омывателя и расширительных бачков для систем охлаждения. Продукция соответствует OEM-стандартам по материалам и посадке благодаря контролю качества на всех этапах и применению первичного сырья.,interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,"ООО "" АВТОПЛАСТИК """,7723873218,1137746448355,22.2,Производство изделий из пластмасс,Арутюнян Артур Арташесович,Генеральный директор,96.659,2025,9.761,2025,БО ФНС,high,,нет,interautomechanica2026_deal_153858
ИнтерАвтоМеханика 2026,AVERS,AVERS,Запчасти и компоненты; Кузовной ремонт и лакокрасочные материалы; Аксессуары и тюнинг,Россия,,,8-105,Зал 8,Запчасти и компоненты; Кузовной ремонт и лакокрасочные материалы; Аксессуары и тюнинг,"Группа компаний Аверс, является производителем запчастей под собственной торговой маркой AVERS. Головной офис находится в г. Екатеринбурге, региональные склады – в г. Екатеринбурге и г. Москве. Основным направлением компании является производство и оптово-розничная продажа автомобильных запасных частей для технического обслуживания и кузовного ремонта. В ассортимент компании входят товарные группы: - Запчасти для кузовного ремонта - Автомобильный крепеж - Запчасти для технического обслуживания",,https://avers-parts.ru,,,https://interauto-mechanica-floorplans-2026.pages.dev/#153837-avers-ooo,153837-avers-ooo,"Запчасти и компоненты; Кузовной ремонт и лакокрасочные материалы; Аксессуары и тюнинг | Группа компаний Аверс, является производителем запчастей под собственной торговой маркой AVERS. Головной офис находится в г. Екатеринбурге, региональные склады – в г. Екатеринбурге и г. Москве. Основным направлением компании является производство и оптово-розничная продажа автомобильных запасных частей для технического обслуживания и кузовного ремонта. В ассортимент компании входят товарные группы: - Запчасти для кузовного ремонта - Автомобильный крепеж - Запчасти для технического обслуживания",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,"ООО ""АВ ПАРТС """,7811793498,1237800133251,45.32.2,"Розничная торговля автомобильными деталями, узлами и принадлежностями вне магазинов",Аветисова Любовь Рубеновна,Генеральный директор,3.192,2025,0.326,2025,БО ФНС,high,,нет,interautomechanica2026_deal_153837
ИнтерАвтоМеханика 2026,AVLKRAFT,AVLKRAFT,Запчасти и компоненты,Россия,,,7-500,Зал 7,Запчасти и компоненты,,,http://avlkraft.ru,,,https://interauto-mechanica-floorplans-2026.pages.dev/#153906-detalfa-ooo,153906-detalfa-ooo,Запчасти и компоненты,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,ДЕТАЛЬФА ООО,,,,,,,,,,,,,Надежное российское юрлицо не найдено.,нет,interautomechanica2026_deal_153906
ИнтерАвтоМеханика 2026,AZUMI,AZUMI,Запчасти и компоненты,Япония,,,8-470,Зал 8,Запчасти и компоненты,,,https://azfilter.ru/,,,https://interauto-mechanica-floorplans-2026.pages.dev/#159138-azumi,159138-azumi,Запчасти и компоненты,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Япония); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_159138
ИнтерАвтоМеханика 2026,BAOYING RUNMA AUTO PARTS FACTORY,BAOYING RUNMA AUTO PARTS FACTORY,,Китай,,,7-380,Зал 7,,"Baoying County Runma Auto Parts Factory was established in 2004, located in Baoying County, Jiangsu Province, China, convenient transportation, adjacent to the high-speed intersection and highspeed rail station. Our factory has a professional team, is a collection of scientific research and development, production, sales in the integration of trade, focusing on self-development of mold, upgrading the auto parts and contracting manufacturing of sheet metal parts.",,,,,https://interauto-mechanica-floorplans-2026.pages.dev/#154761-baoying-runma-auto-parts-factory,154761-baoying-runma-auto-parts-factory,"Baoying County Runma Auto Parts Factory was established in 2004, located in Baoying County, Jiangsu Province, China, convenient transportation, adjacent to the high-speed intersection and highspeed rail station. Our factory has a professional team, is a collection of scientific research and development, production, sales in the integration of trade, focusing on self-development of mold, upgrading the auto parts and contracting manufacturing of sheet metal parts.",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_154761
ИнтерАвтоМеханика 2026,"BEIJING HELIVIEW INTERNATIONAL EXHIBITION CO., LTD.","BEIJING HELIVIEW INTERNATIONAL EXHIBITION CO., LTD.",,Китай,,,7-383,Зал 7,,,,http://www.heliview.cn/intro/1.html,,,https://interauto-mechanica-floorplans-2026.pages.dev/#154785-beijing-heliview-international-exhibition-co-ltd,154785-beijing-heliview-international-exhibition-co-ltd,,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_154785
ИнтерАвтоМеханика 2026,"BEIJING SHANGCHI TOMORROW TRADE CO., LTD","BEIJING SHANGCHI TOMORROW TRADE CO., LTD",Запчасти и компоненты; Аксессуары и тюнинг,Китай,,,8-975,Зал 8,Запчасти и компоненты; Аксессуары и тюнинг,"""ShangHai Heng Yun Zhong Cheng Auto Trading Co., LTD является одним из профессиональных оптовых поставщиков и экспортеров автозапчастей в Китае, таких марок как: MG, CHERY, CHANGAN, GEELY, GREAT WALL (GWM), HAVAL, JAG, DONGFENG, ZX AUTO, MAXUS, а так же другие марки машин. Наша компания стремимся интегрировать квалифицированные ресурсы по поставке автозапчастей для клиентов по всему миру. ShangHai Heng Yun Zhong Cheng Auto Trading Co., LTD ваш надежный партнер по поставкам автозапчастей.""",,http://www.sc-industry.cn/,,,https://interauto-mechanica-floorplans-2026.pages.dev/#155184-beijing-shangchi-tomorrow-trade-co-ltd,155184-beijing-shangchi-tomorrow-trade-co-ltd,"Запчасти и компоненты; Аксессуары и тюнинг | ""ShangHai Heng Yun Zhong Cheng Auto Trading Co., LTD является одним из профессиональных оптовых поставщиков и экспортеров автозапчастей в Китае, таких марок как: MG, CHERY, CHANGAN, GEELY, GREAT WALL (GWM), HAVAL, JAG, DONGFENG, ZX AUTO, MAXUS, а так же другие марки машин. Наша компания стремимся интегрировать квалифицированные ресурсы по поставке автозапчастей для клиентов по всему миру. ShangHai Heng Yun Zhong Cheng Auto Trading Co., LTD ваш надежный партнер по поставкам автозапчастей.""",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_155184
ИнтерАвтоМеханика 2026,BERG Compressors,BERG Compressors,Гаражное оборудование,Россия,,,7-417,Зал 7,Гаражное оборудование,,,http://www.berg-air.ru,,,https://interauto-mechanica-floorplans-2026.pages.dev/#153894-vkb-ooo,153894-vkb-ooo,Гаражное оборудование,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,ВКБ ООО,,,,,,,,,,,,,Надежное российское юрлицо не найдено.,нет,interautomechanica2026_deal_153894
ИнтерАвтоМеханика 2026,"Brighter LED lighting Co., Ltd.","Brighter LED lighting Co., Ltd.",Запчасти и компоненты,Китай,,,7-659,Зал 7,Запчасти и компоненты,,,https://www.brtled-light.com/,,,https://interauto-mechanica-floorplans-2026.pages.dev/#159765-brighter-led-lighting-co-ltd,159765-brighter-led-lighting-co-ltd,Запчасти и компоненты,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_159765
ИнтерАвтоМеханика 2026,"C5 Top Film Co., Ltd.","C5 Top Film Co., Ltd.",Запчасти и компоненты,Китай,,,7-466,Зал 7,Запчасти и компоненты,,,https://c5-topfilm.com/,,,https://interauto-mechanica-floorplans-2026.pages.dev/#158727-c5-top-film-co-ltd,158727-c5-top-film-co-ltd,Запчасти и компоненты,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_158727
ИнтерАвтоМеханика 2026,"CANGZHOU XINYU FASTENER CO., LTD","CANGZHOU XINYU FASTENER CO., LTD",Запчасти и компоненты,Китай,,,7-614,Зал 7,Запчасти и компоненты,"Наша компания является производителем, специализирующимся на изготовлении хомутов. Наша продукция в основном разделяется на две серии: шланговые хомуты, пресс-формы, клеммы аккумулятора, катушки зажигания и узлы крепления нержавеющих стальных труб всех моделей и размеров.",,http://www.czxylt.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#156795-cangzhou-xinyu-fastener-co-ltd,156795-cangzhou-xinyu-fastener-co-ltd,"Запчасти и компоненты | Наша компания является производителем, специализирующимся на изготовлении хомутов. Наша продукция в основном разделяется на две серии: шланговые хомуты, пресс-формы, клеммы аккумулятора, катушки зажигания и узлы крепления нержавеющих стальных труб всех моделей и размеров.",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_156795
