event_name,company_name,country,city,address,stand,pavilion,rubrics,product_notes,website,public_email,public_phone,source_url,exhibitor_id,evidence_snippet,signo_relevance,signo_relevance_action,signo_relevance_reason,signo_relevance_positive_terms,signo_relevance_negative_terms,parse_status,missing_fields,scraped_at,parser_version
ИНТЕРЛАКОКРАСКА-2026,AAB INDUSTRIAL TECHNOLOGY (XUZHOU) CO. LTD,Китай,,Китай,2B080,ВАВИЛОВ,Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий,"Компания AAB Industrial Technology (Сюйчжоу) Co. Ltd является ведущим поставщиком высокоэффективного сырья для производства автомобильных красок, лакокрасочных материалов для отделки судов, антикоррозийных средств, печатных красок и порошковых покрытий.",http://www.aabindustrygroup.com,bruce@aabindustrygroup.com,+86 13951823978,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378289?&stand=2B080,378289,"Компания AAB Industrial Technology (Сюйчжоу) Co. Ltd является ведущим поставщиком высокоэффективного сырья для производства автомобильных красок, лакокрасочных материалов для отделки судов, антикоррозийных средств, печатных красок и порошковых покрытий. | Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,автомобильных красок; лакокрасочных материалов; порошковых покрытий; покрытий; печатных красок,raw_material; сырье; вспомогательные материалы,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,ANHUI BLACK CAT MATERIAL SCIENCE CO. LTD,Китай,,Китай,2B156,ВАВИЛОВ,Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий,"Black Cat — крупнейший производитель технического углерода в Китае, способный поставлять полный спектр специальной продукции на основе технического углерода для использования в производстве покрытий, чернил и пластмассы.",http://www.ahbcms.com,carrie@ahbcms.com,+86 18705695592,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378277?&stand=2B156,378277,"Black Cat — крупнейший производитель технического углерода в Китае, способный поставлять полный спектр специальной продукции на основе технического углерода для использования в производстве покрытий, чернил и пластмассы. | Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,лакокрасочных материалов; покрытий; чернил,raw_material; сырье; вспомогательные материалы; технического углерода,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,ANHUI MEIJIA NEW MATERIALS CO. LTD,Китай,,Китай,2C162,ВАВИЛОВ,Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий,"Компания Anhui Meijia, основанная в 2000 году, расположена в провинции Аньхой, Китай. Предприятие специализируется на разработке, производстве и продаже эпоксидных смол, полиэфирных смол и порошковых покрытий.",http://www.anhuimeijia.com,alice@anhuimeijia.com,+86 553 7718190,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378324?&stand=2C162,378324,"Компания Anhui Meijia, основанная в 2000 году, расположена в провинции Аньхой, Китай. Предприятие специализируется на разработке, производстве и продаже эпоксидных смол, полиэфирных смол и порошковых покрытий. | Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,лакокрасочных материалов; порошковых покрытий; покрытий,raw_material; сырье; вспомогательные материалы; смол; полиэфир; эпоксид,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,ANHUI SHENJIAN NEW MATERIALS CO. LTD,Китай,,Китай,2B010,ВАВИЛОВ,Порошковые покрытия,"Компания Anhui Shenjian New Materials Co. Ltd, основанная в 2002 году, специализируется на разработке и производстве полиэфирных смол для производства порошковых покрытий. Более чем 20 лет стремительного развития.",http://www.shen-jian.com,Martin@shen-jian.com,+86 0553 5316333,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378791?&stand=2B010,378791,"Компания Anhui Shenjian New Materials Co. Ltd, основанная в 2002 году, специализируется на разработке и производстве полиэфирных смол для производства порошковых покрытий. Более чем 20 лет стремительного развития. | Порошковые покрытия",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,порошковых покрытий; порошковые покрытия; покрытия; покрытий,raw_material; смол; полиэфир,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,ANHUI YOCHON NEW MATERIALS TECHNOLOGY CO. LTD,Китай,,Китай,4F115,ЧАЯНОВ,Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий,Компания Anhui Yochon New Materials Technology Co. Ltd специализируется на производстве полиэфирных смол для порошковых покрытий и является ведущим поставщиком полиэфирных смол в Китае.,http://www.powdercoating-polyesterresin.com,ming@ah-yochon.com,+86 18133605308,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378416?&stand=4F115,378416,Компания Anhui Yochon New Materials Technology Co. Ltd специализируется на производстве полиэфирных смол для порошковых покрытий и является ведущим поставщиком полиэфирных смол в Китае. | Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий,maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,лакокрасочных материалов; порошковых покрытий; покрытий,raw_material; сырье; вспомогательные материалы; смол; полиэфир,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,ANJI CHENGXI CHEMICAL INDUSTRY CO. LTD,Китай,,Китай,4B076,ЧАЯНОВ,"Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Антикоррозионные лакокрасочные материалы, защитные покрытия","Мы являемся профессиональным производителем органоглины, отличающейся стабильным и постоянным качеством. Продукция серии ICLAY 21 успешно продается в магазинах Asian Paint, Nippon Paint, Kansai Paint и Axalata Paint без единого нарекания.",http://www.ajcxbenclay.com,hmz01@cxbenclay.com,+86 18768351177,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378802?&stand=4B076,378802,"Мы являемся профессиональным производителем органоглины, отличающейся стабильным и постоянным качеством. Продукция серии ICLAY 21 успешно продается в магазинах Asian Paint, Nippon Paint, Kansai Paint и Axalata Paint без единого нарекания. | Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Антикоррозионные лакокрасочные материалы, защитные покрытия",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,лакокрасочных материалов; лакокрасочные материалы; антикоррозионные; покрытия; покрытий,raw_material; сырье; вспомогательные материалы,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,ANSHAN HUIHONG NEW MATERIAL CHEMICAL CO. LTD,Китай,,Китай,2F060,ВАВИЛОВ,Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Новые технологии и научные разработки,"Компания Anshan Huihong New Material Chemical Co. Ltd — профессиональный высокотехнологичный производитель добавок для покрытий и чернил, таких как диспергаторы, пеногасители, выравнивающие агенты и противоосадочные агенты, которые содержат различные компоненты.",http://www.hvonadditive.com,wangqiong@hopeml.com,+86 0523 86663050,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378812?&stand=2F060,378812,"Компания Anshan Huihong New Material Chemical Co. Ltd — профессиональный высокотехнологичный производитель добавок для покрытий и чернил, таких как диспергаторы, пеногасители, выравнивающие агенты и противоосадочные агенты, которые содержат различные компоненты. | Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Новые технологии и научные разработки",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,лакокрасочных материалов; покрытий; чернил,raw_material; сырье; вспомогательные материалы; диспергатор; пеногасител,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,BEIJING CHENGYUAN INTERNATIONAL EXHIBITION CO. LTD,Китай,,Китай,4A048,ЧАЯНОВ,"Монтаж, эксплуатация и сервисное обслуживание; Информационное обеспечение","Компания Beijing Chengyuan (BCIE/CYI) уже более 10 лет является агентом международных выставок лакокрасочных материалов по всему миру и пользуется заслуженным доверием и у новых, и у постоянных клиентов.",http://www.cyi-expo.com,may.chang@cyi-expo.com,"+86 15711047320, 18610318930",https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378417?&stand=4A048,378417,"Компания Beijing Chengyuan (BCIE/CYI) уже более 10 лет является агентом международных выставок лакокрасочных материалов по всему миру и пользуется заслуженным доверием и у новых, и у постоянных клиентов. | Монтаж, эксплуатация и сервисное обслуживание; Информационное обеспечение",no,exclude,equipment_service: poor fit pure equipment/logistics/service supplier,лакокрасочных материалов,equipment_service; монтаж; эксплуатация; сервисное обслуживание; информационное обеспечение; выставок,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,BEREN İNOVASYON KİMYA,Турция,,Турция,2E045,ВАВИЛОВ,,,,,,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/380767?&stand=2E045,380767,,maybe,review,insufficient_public_evidence: manual review,,,partial_missing_fields,evidence_snippet,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,BOYEE (SHENZHEN) INDUSTRIAL TECHNOLOGY CO. LTD,Китай,,Китай,4B070,ЧАЯНОВ,Диспергирующее оборудование; Системы подачи,"Компания Boyee Industrial, основанная в 2004 году в Шэньчжэне, является крупным национальным предприятием, специализирующимся на производстве высококачественного оборудования для обработки микро- и наноматериалов, а также интеллектуальных производственных линий.",http://www.boyeemill.com,cami.zhan@boyee-mill.com,+86 0755-81766076,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378813?&stand=4B070,378813,"Компания Boyee Industrial, основанная в 2004 году в Шэньчжэне, является крупным национальным предприятием, специализирующимся на производстве высококачественного оборудования для обработки микро- и наноматериалов, а также интеллектуальных производственных линий. | Диспергирующее оборудование; Системы подачи",no,exclude,equipment_service: poor fit pure equipment/logistics/service supplier,,equipment_service; оборудование; производственных линий; системы подачи; диспергирующее,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
