event_name,event_dates,company_name,company_short_name,products,country,city,address,stand,pavilion,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,alpha_filter,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version,short_name_check,products_check,qa_notes,signo_status,repeat_reason,matched_crm_email,matched_crm_domain,matched_crm_company,candidate_emails,candidate_top_domains,source_sheet,source_removed_reason,website_email_status,website_email_source_url,website_email_notes,main email,main_email_reason
Искусство куклы 2026,1–3 октября 2026,BROVANZ,BROVANZ,"авторские куклы, художественные куклы",Россия,Москва,"Гостиный Двор, ул. Ильинка, д.4",,,Детские товары; Культура и искусство; Игрушки и игры; Авторская кукла,ПРОЕКТ «АНТИПОДЫ - МИТТЕЛЬШПИЛЬ»,,,,,https://искусствокуклы.рф/uchastniki-vystavki-iskusstvo-kukly-2026g,iskusstvo-kukly-2026-001,brovanz,BROVANZ | ПРОЕКТ «АНТИПОДЫ - МИТТЕЛЬШПИЛЬ»,ok,website; public_email; stand,2026-09-21T05:08:38Z,iskusstvo-kukly-2026-official-participant-list-signo-v1.0.0,ok,ok,Official public list row; product category inferred from participant/project evidence.,New Signo,no exact normalized company/name match in read-only Twenty repeat index,,,,,,official_participant_list_2026,,website_missing,,Official participant list exposes no exhibitor website/email fields; no website crawl was possible from this source row.,,no public email in official source
Искусство куклы 2026,1–3 октября 2026,АНТРЕСОЛЬ,АНТРЕСОЛЬ,"авторские куклы, художественные куклы",Россия,Москва,"Гостиный Двор, ул. Ильинка, д.4",,,Детские товары; Культура и искусство; Игрушки и игры; Авторская кукла,ПРОЕКТ «МОРОЖЕНЫ ПЕСНИ»,,,,,https://искусствокуклы.рф/uchastniki-vystavki-iskusstvo-kukly-2026g,iskusstvo-kukly-2026-002,антресоль,АНТРЕСОЛЬ | ПРОЕКТ «МОРОЖЕНЫ ПЕСНИ»,ok,website; public_email; stand,2026-09-21T05:08:38Z,iskusstvo-kukly-2026-official-participant-list-signo-v1.0.0,ok,ok,Official public list row; product category inferred from participant/project evidence.,New Signo,no exact normalized company/name match in read-only Twenty repeat index,,,,,,official_participant_list_2026,,website_missing,,Official participant list exposes no exhibitor website/email fields; no website crawl was possible from this source row.,,no public email in official source
Искусство куклы 2026,1–3 октября 2026,АРТ ГРУППА ЛОДА,АРТ ГРУППА ЛОДА,"авторские куклы, художественные куклы",Россия,Москва,"Гостиный Двор, ул. Ильинка, д.4",,,Детские товары; Культура и искусство; Игрушки и игры; Авторская кукла,"ЛОГИНОВА АННА, ДАДЫКИНА МАРГАРИТА | ПРОЕКТ «ТРИ ТОЛСТЯКА»",,,,,https://искусствокуклы.рф/uchastniki-vystavki-iskusstvo-kukly-2026g,iskusstvo-kukly-2026-003,арт группа лода,"АРТ ГРУППА ЛОДА | ЛОГИНОВА АННА, ДАДЫКИНА МАРГАРИТА | ПРОЕКТ «ТРИ ТОЛСТЯКА»",ok,website; public_email; stand,2026-09-21T05:08:38Z,iskusstvo-kukly-2026-official-participant-list-signo-v1.0.0,ok,ok,Official public list row; product category inferred from participant/project evidence.,New Signo,no exact normalized company/name match in read-only Twenty repeat index,,,,,,official_participant_list_2026,,website_missing,,Official participant list exposes no exhibitor website/email fields; no website crawl was possible from this source row.,,no public email in official source
Искусство куклы 2026,1–3 октября 2026,АРТ-ГРУППА О5,АРТ-ГРУППА О5,"авторские куклы, художественные куклы",Россия,Москва,"Гостиный Двор, ул. Ильинка, д.4",,,Детские товары; Культура и искусство; Игрушки и игры; Авторская кукла,ПРОЕКТ «СОН ПОСЛЕ СНА»,,,,,https://искусствокуклы.рф/uchastniki-vystavki-iskusstvo-kukly-2026g,iskusstvo-kukly-2026-004,арт группа о5,АРТ-ГРУППА О5 | ПРОЕКТ «СОН ПОСЛЕ СНА»,ok,website; public_email; stand,2026-09-21T05:08:38Z,iskusstvo-kukly-2026-official-participant-list-signo-v1.0.0,ok,ok,Official public list row; product category inferred from participant/project evidence.,New Signo,no exact normalized company/name match in read-only Twenty repeat index,,,,,,official_participant_list_2026,,website_missing,,Official participant list exposes no exhibitor website/email fields; no website crawl was possible from this source row.,,no public email in official source
Искусство куклы 2026,1–3 октября 2026,БОГИНЯ НАТАША,БОГИНЯ НАТАША,"авторские куклы, художественные куклы",Россия,Москва,"Гостиный Двор, ул. Ильинка, д.4",,,Детские товары; Культура и искусство; Игрушки и игры; Авторская кукла,"ПРОЕКТ «ЗАРИНА, ДОЧЬ СОЛНЦА»",,,,,https://искусствокуклы.рф/uchastniki-vystavki-iskusstvo-kukly-2026g,iskusstvo-kukly-2026-005,богиня наташа,"БОГИНЯ НАТАША | ПРОЕКТ «ЗАРИНА, ДОЧЬ СОЛНЦА»",ok,website; public_email; stand,2026-09-21T05:08:38Z,iskusstvo-kukly-2026-official-participant-list-signo-v1.0.0,ok,ok,Official public list row; product category inferred from participant/project evidence.,New Signo,no exact normalized company/name match in read-only Twenty repeat index,,,,,,official_participant_list_2026,,website_missing,,Official participant list exposes no exhibitor website/email fields; no website crawl was possible from this source row.,,no public email in official source
Искусство куклы 2026,1–3 октября 2026,ВЫСТАВКА «ВРЕМЯ КУКОЛ» ПРЕДСТАВЛЯЕТ,ВЫСТАВКА «ВРЕМЯ КУКОЛ»,"авторские куклы, художественные куклы",Россия,Москва,"Гостиный Двор, ул. Ильинка, д.4",,,Детские товары; Культура и искусство; Игрушки и игры; Авторская кукла,АРТ-ПРОЕКТ «НАТЮРМОРТ С КУКЛОЙ» (КУРАТОР МОХРЯКОВА ТАТЬЯНА),,,,,https://искусствокуклы.рф/uchastniki-vystavki-iskusstvo-kukly-2026g,iskusstvo-kukly-2026-006,выставка время кукол представляет,ВЫСТАВКА «ВРЕМЯ КУКОЛ» ПРЕДСТАВЛЯЕТ | АРТ-ПРОЕКТ «НАТЮРМОРТ С КУКЛОЙ» (КУРАТОР МОХРЯКОВА ТАТЬЯНА),ok,website; public_email; stand,2026-09-21T05:08:38Z,iskusstvo-kukly-2026-official-participant-list-signo-v1.0.0,ok,ok,Official public list row; product category inferred from participant/project evidence.,New Signo,no exact normalized company/name match in read-only Twenty repeat index,,,,,,official_participant_list_2026,,website_missing,,Official participant list exposes no exhibitor website/email fields; no website crawl was possible from this source row.,,no public email in official source
Искусство куклы 2026,1–3 октября 2026,ГАЛЕРЕЯ ЕЛЕНЫ ГРОМОВОЙ,ГАЛЕРЕЯ ЕЛЕНЫ ГРОМОВОЙ,"антикварные куклы, коллекционные куклы, авторские куклы, художественные куклы",Россия,Москва,"Гостиный Двор, ул. Ильинка, д.4",,,Детские товары; Культура и искусство; Игрушки и игры; Авторская кукла,СЕРЕБРЯНЫЙ ВЕК,,,,,https://искусствокуклы.рф/uchastniki-vystavki-iskusstvo-kukly-2026g,iskusstvo-kukly-2026-007,галерея елены громовой,ГАЛЕРЕЯ ЕЛЕНЫ ГРОМОВОЙ | СЕРЕБРЯНЫЙ ВЕК,ok,website; public_email; stand,2026-09-21T05:08:38Z,iskusstvo-kukly-2026-official-participant-list-signo-v1.0.0,ok,ok,Official public list row; product category inferred from participant/project evidence.,New Signo,no exact normalized company/name match in read-only Twenty repeat index,,,,,,official_participant_list_2026,,website_missing,,Official participant list exposes no exhibitor website/email fields; no website crawl was possible from this source row.,,no public email in official source
Искусство куклы 2026,1–3 октября 2026,ГАЛЕРЕЯ КАРИНЫ ШАНШИЕВОЙ,ГАЛЕРЕЯ КАРИНЫ ШАНШИЕВОЙ,"коллекционные куклы, авторские куклы, художественные куклы",Россия,Москва,"Гостиный Двор, ул. Ильинка, д.4",,,Детские товары; Культура и искусство; Игрушки и игры; Авторская кукла,,,,,,https://искусствокуклы.рф/uchastniki-vystavki-iskusstvo-kukly-2026g,iskusstvo-kukly-2026-009,галерея карины шаншиевой,ГАЛЕРЕЯ КАРИНЫ ШАНШИЕВОЙ,ok,website; public_email; stand,2026-09-21T05:08:38Z,iskusstvo-kukly-2026-official-participant-list-signo-v1.0.0,ok,ok,Official public list row; product category inferred from participant/project evidence.,New Signo,no exact normalized company/name match in read-only Twenty repeat index,,,,,,official_participant_list_2026,,website_missing,,Official participant list exposes no exhibitor website/email fields; no website crawl was possible from this source row.,,no public email in official source
Искусство куклы 2026,1–3 октября 2026,"ГАЛЕРЕЯ КУКОЛ ""ХРУПКИЕ МЕЧТЫ""","ГАЛЕРЕЯ КУКОЛ ""ХРУПКИЕ МЕЧТЫ""","фарфоровые куклы, коллекционные куклы, авторские куклы, художественные куклы",Россия,Москва,"Гостиный Двор, ул. Ильинка, д.4",,,Детские товары; Культура и искусство; Игрушки и игры; Авторская кукла,КОЛЛЕКЦИЯ ФАРФОРОВЫХ КУКОЛ ХИЛЬДЕГАРД ГЮНЦЕЛЬ,,,,,https://искусствокуклы.рф/uchastniki-vystavki-iskusstvo-kukly-2026g,iskusstvo-kukly-2026-010,галерея кукол хрупкие мечты,"ГАЛЕРЕЯ КУКОЛ ""ХРУПКИЕ МЕЧТЫ"" | КОЛЛЕКЦИЯ ФАРФОРОВЫХ КУКОЛ ХИЛЬДЕГАРД ГЮНЦЕЛЬ",ok,website; public_email; stand,2026-09-21T05:08:38Z,iskusstvo-kukly-2026-official-participant-list-signo-v1.0.0,ok,ok,Official public list row; product category inferred from participant/project evidence.,New Signo,no exact normalized company/name match in read-only Twenty repeat index,,,,,,official_participant_list_2026,,website_missing,,Official participant list exposes no exhibitor website/email fields; no website crawl was possible from this source row.,,no public email in official source
Искусство куклы 2026,1–3 октября 2026,ГАЛЕРЕЯ КУКОЛ «АДЕЛЬ»,ГАЛЕРЕЯ КУКОЛ «АДЕЛЬ»,"коллекционные куклы, авторские куклы, художественные куклы",Россия,Москва,"Гостиный Двор, ул. Ильинка, д.4",,,Детские товары; Культура и искусство; Игрушки и игры; Авторская кукла,ПРЕДСТАВЛЯЕТ ПРОЕКТ «РОЖДЕНИЕ ОБРАЗА»,,,,,https://искусствокуклы.рф/uchastniki-vystavki-iskusstvo-kukly-2026g,iskusstvo-kukly-2026-011,галерея кукол адель,ГАЛЕРЕЯ КУКОЛ «АДЕЛЬ» | ПРЕДСТАВЛЯЕТ ПРОЕКТ «РОЖДЕНИЕ ОБРАЗА»,ok,website; public_email; stand,2026-09-21T05:08:38Z,iskusstvo-kukly-2026-official-participant-list-signo-v1.0.0,ok,ok,Official public list row; product category inferred from participant/project evidence.,New Signo,no exact normalized company/name match in read-only Twenty repeat index,,,,,,official_participant_list_2026,,website_missing,,Official participant list exposes no exhibitor website/email fields; no website crawl was possible from this source row.,,no public email in official source
