event_name,event_dates,company_name,company_short_name,products,country,city,address,stand,pavilion,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version,source_sheet,source_detail_sha256,detail_cache_file,company_inn
MIMS Automobility Санкт-Петербург 2026,25–28 августа 2026,1AK-GROUP,1Ak-Group,аккумуляторы,Беларусь,,"Беларусь, 225710, Брест, Пинск, Белоозерск, Минск, Республика Беларусь, Брестская область, г. Пинск, Проезд Калиновского 2",H036,Павильон H,Аккумуляторы,,Eurostart; Thomas; Волат; ЗУБР; Мастер Бэттериз; Энран; Урса,https://1ak-group.com/,i.vilchuk@1ak.by; info@1ak-group.com,+7(921)303-60-80,https://online.itemf.ru/info/MIMS26/catalog/8500ac72-1b1c-d116-199e-8892538eebea/,8500ac72-1b1c-d116-199e-8892538eebea,"Холдинг 1AK-GROUP - производитель аккумуляторных батарей. Предприятия 1AK-GROUP на рынке с 1995 года. Холдинг обеспечивает полный цикл производства и дистрибуции аккумуляторных батарей с производственными мощностями - более 4,5 миллионов аккумуляторных батарей в год. Аккумуляторы для всех видов автотранспортной техники, промышленных и индустриальных батарей, технологии Li-ion производятся на современном автоматизированном оборудовании с высокой степенью экологической безопасности. В портфеле компании более 7 известных брендов: ZUBR, VOLAT PRIME, ENRUN, MASTER BATTERIES и др.",detail_parsed,,2026-08-22T20:40:34Z,mims26-itemf-public-catalog-signo-v1.0.1,itemf_mims26_public_catalog_count_all,bf9b98bd831a73a1535bcfc7f43c2478428320943dc86faf7f3cd4497936fe4f,source/detail_pages/detail_8500ac72-1b1c-d116-199e-8892538eebea.html,
MIMS Automobility Санкт-Петербург 2026,25–28 августа 2026,1MIKRON,1Mikron,"детали двигателя и трансмиссии, автоинструменты, автозапчасти",Россия,,"Россия, 192289, Санкт-Петербург, Софийская 95 лит. А.",H161,Павильон H,,,BRUNOR,https://1mikron.ru/,info@1mikron.ru,+7(812)678-99-04,https://online.itemf.ru/info/MIMS26/catalog/421a9cc9-1039-92f0-4c20-86c9656aaa31/,421a9cc9-1039-92f0-4c20-86c9656aaa31,"«1 Микрон» — производственно-торговая компания, специализирующаяся на механической обработке деталей двигателей, ремонте и изготовлении карданных валов, продаже запчастей и станочного оборудования. Мы используем высокоточное оборудование, работаем с прямыми поставками комплектующих и развиваем собственную торговую марку BRUNOR. Квалифицированные специалисты, контроль качества и постоянное развитие позволяют нам обеспечивать надежный результат и быть уверенным партнером для клиентов и мастерских.",detail_parsed,,2026-08-22T20:40:34Z,mims26-itemf-public-catalog-signo-v1.0.1,itemf_mims26_public_catalog_count_all,143487d939812d402cd0d500c4d05e1d270dae1963c4ebb146cb95f1c34a3326,source/detail_pages/detail_421a9cc9-1039-92f0-4c20-86c9656aaa31.html,
MIMS Automobility Санкт-Петербург 2026,25–28 августа 2026,4CLIPS,4Clips,"детали двигателя и трансмиссии, кузовные детали, детали интерьера автомобиля",Россия,,"Россия, 606019, Дзержинск, Игумновское шоссе, 5",G064,Павильон G,"Двигатель, Трансмиссия; Кузов и его элементы; Интерьер",,,https://4clips.ru,info@4clips.ru,+78313398111,https://online.itemf.ru/info/MIMS26/catalog/3613c760-254b-905b-c565-20a382803fd5/,3613c760-254b-905b-c565-20a382803fd5,"Разработка, производство и реализация крепежных и сборочных решений для автомобильной промышленности, машиностроения, агропромышленного комплекса. Завод полного цикла: от проектирования до производства деталей с сертификатами соответствия ISO 9001, IATF 16949. Четыре основных направления предприятия : - пластиковый крепеж (клипсы, держатели, хомуты, заглушки и прочие детали из пластмасс); - металлический крепеж (гайки, зажимы, закладные и прочие детали из пружинной стали); - быстросъемные соединители для топливопроводов и систем охлаждения; - индивидуальные крепежные и сборочные решения.",detail_parsed,,2026-08-22T20:40:34Z,mims26-itemf-public-catalog-signo-v1.0.1,itemf_mims26_public_catalog_count_all,6cdad85973f30fa58c12da1b49357008ff3ed95aa5bf0be5f191e7819971069d,source/detail_pages/detail_3613c760-254b-905b-c565-20a382803fd5.html,
MIMS Automobility Санкт-Петербург 2026,25–28 августа 2026,ABCP,ABCP,"автозапчасти, программное обеспечение для автобизнеса",Россия,,,F014,Павильон F,,,,,,,https://online.itemf.ru/info/MIMS26/catalog/e06b175a-6bbc-fbf6-9ee7-947f485749f3/,e06b175a-6bbc-fbf6-9ee7-947f485749f3,"Крупная компания разработчик специализированного программного обеспечения для отрасли послепродажного обслуживания автомобилей с опытом работы 20+ лет. Ключевые продукты компании: Интернет-магазин для торговли автозапчастями в розницу и оптом, Программное обеспечение для магазина автозапчастей, 1С-модуль ABCP для добавления проценки и заказа у поставщиков в 1С, Данные для крупных дистрибьюторов: каталоги ABCP и кроссы ABCP. Сайт компании: www.abcp.ru.",detail_parsed,,2026-08-22T20:40:34Z,mims26-itemf-public-catalog-signo-v1.0.1,itemf_mims26_public_catalog_count_all,729667f0ae91b9b4825404627867f5c3ce3685c0097baeb55bc1a05c5c18b959,source/detail_pages/detail_e06b175a-6bbc-fbf6-9ee7-947f485749f3.html,
MIMS Automobility Санкт-Петербург 2026,25–28 августа 2026,ABCW,ABCW,шины и диски,Россия,,"Россия, Москва, 1-й километр Калужского шоссе 8г",G193,Павильон G,"Шины, диски",,,http://www.abcwwheels.ru,info@abcwwheels.ru,+7(919)966-00-00,https://online.itemf.ru/info/MIMS26/catalog/6a7b8f8d-d100-b5af-1c71-10da60b898ff/,6a7b8f8d-d100-b5af-1c71-10da60b898ff,"Наша компания является официальным представителем Китайской компании Zhejiang Baochi Industry & Trade Co., Ltd. в России. Копании принадлежит завод, который был основан в 2012 году как современное предприятие, специализирующееся на проектировании, производстве и продаже автомобильных дисков под брендом ABCW. Завод имеет производственную базу площадью 40 000 квадратных метров и штат более 300 сотрудников, годовое производство дисков 800 000 колёс.",detail_parsed,,2026-08-22T20:40:34Z,mims26-itemf-public-catalog-signo-v1.0.1,itemf_mims26_public_catalog_count_all,6e63cc522b4e7fef661ffca1e8e1ad391355465135535f7f16d9c132dcf4b9e7,source/detail_pages/detail_6a7b8f8d-d100-b5af-1c71-10da60b898ff.html,
MIMS Automobility Санкт-Петербург 2026,25–28 августа 2026,ACT ПОСЛЕМАРКЕТ,Act Послемаркет,"механические автодетали, электромобили и беспилотная техника",Турция,,"Турция, Маниса, ADAKALE MAH. 2501 SOK. OLÇA APT. NO:15/1",G157,Павильон G,"Стандартные механические детали; Электромобили, беспилотная автотехника",,,https://www.actautomotive.com/tr/index.php,sales@actyedekparca.com,+90(530)063-8682,https://online.itemf.ru/info/MIMS26/catalog/d01767e9-d2f3-b163-c7a0-3d8f1538d0f5/,d01767e9-d2f3-b163-c7a0-3d8f1538d0f5,Занимаемся торговлей карданных валов и суп компонентов,detail_parsed,,2026-08-22T20:40:34Z,mims26-itemf-public-catalog-signo-v1.0.1,itemf_mims26_public_catalog_count_all,cb4b6ebf7fd491d2f9fd1a6700228526aefdcf518dcb2b39119f143353e15956,source/detail_pages/detail_d01767e9-d2f3-b163-c7a0-3d8f1538d0f5.html,
MIMS Automobility Санкт-Петербург 2026,25–28 августа 2026,ADD Industry （ZheJiang） Corporation Limited,ADD Industry （ZheJiang） Corporation Limited,детали ходовой и тормозной системы,Китай,,"Китай, 317607, Юхуань, Zhengyu Road, Economic Development ZoneYuhuan, чжэцзян, Китай 317608",F272,Павильон F,"Ходовая часть, Тормозная система, Рулевое управление",,ADD,http://www.addchina.com,mawenda@addchina.com,+86(576)8727-8886,https://online.itemf.ru/info/MIMS26/catalog/dbef9b18-0515-a1ea-95a5-feea80221e98/,dbef9b18-0515-a1ea-95a5-feea80221e98,"ADD Group начала свою деятельность в 1992 году и уже более 30 лет специализируется на автомобильных деталях и элементах подвески. Основная линейка продукции включают в себя: амортизаторы, стойки подвески, стойки в сборе, пневмо-амортизаторы, опоры стоек, опоры двигателя и уплотнительные детали. Наша продукция охватывает новейшие и популярные модели по всему миру, включая легковые автомобили, внедорожники, пикапы, легкие грузовики, коммерческие и большегрузные автомобили.",detail_parsed,,2026-08-22T20:40:34Z,mims26-itemf-public-catalog-signo-v1.0.1,itemf_mims26_public_catalog_count_all,d74349ed31f76f2cf80f1644553eef1b722a0c836221d0e480901bc307d7c5e4,source/detail_pages/detail_dbef9b18-0515-a1ea-95a5-feea80221e98.html,
MIMS Automobility Санкт-Петербург 2026,25–28 августа 2026,AIN Global Foundation,AIN Global Foundation,,"Корея, Республика",,"Корея, Республика, 14047, Аньянси, Кёнгидо, #1702, 187, Симин-даэро, Донган-гу",F207,Павильон F,СМИ,service/unsuitable category terms excluded: СМИ; service/unsuitable category terms excluded: СМИ,KOAA SHOW,http://www.koaashow.com,koaashow@koaashow.com,+82-31-384-0301,https://online.itemf.ru/info/MIMS26/catalog/56614ab6-1232-fb18-66d9-835480f26a17/,56614ab6-1232-fb18-66d9-835480f26a17,,detail_parsed,products,2026-08-22T20:40:34Z,mims26-itemf-public-catalog-signo-v1.0.1,itemf_mims26_public_catalog_count_all,bd3a5fed34402a5d8bf777dfd0f6950009ae2c6b38390e036e6a36fc25ade7fa,source/detail_pages/detail_56614ab6-1232-fb18-66d9-835480f26a17.html,
MIMS Automobility Санкт-Петербург 2026,25–28 августа 2026,"AIPSI (HUZHOU) AUTO PARTS CO., LTD","Aipsi (Huzhou) Auto Parts Co., Ltd","автомобильный свет, детали двигателя и трансмиссии, детали ходовой и тормозной системы",Китай,,"Китай, HUZHOU, Комната 858, 8-й этаж, Корпус 1, дом 133, улица Синхэ, городок Юйюэ, уезд Дэцин, город Хучжоу, провинция Чжэцзян, Китай. City, Zhejiang Province",E006,Павильон E,"Автомобильный свет, лампы; Двигатель, Трансмиссия; Ходовая часть, Тормозная система, Рулевое управление",,,http://www.aipsiauto.com,kelly@aipsiauto.com,+86(158)5720-6276,https://online.itemf.ru/info/MIMS26/catalog/3df95434-8072-f943-5678-c6aeda299420/,3df95434-8072-f943-5678-c6aeda299420,"AIPSI (Huzhou) Auto Parts Co., Ltd. — профессиональная торговая компания, расположенная в городе Хучжоу, провинция Чжэцзян, Китай. Мы специализируемся на поставках высококачественных деталей подвески, двигателя, рулевого управления, тормозной системы и кузовных элементов, охватывая широкий спектр автомобилей. Особое внимание мы уделяем моделям японских и корейских брендов. В нашем ассортименте представлено более 50 000 категорий автозапчастей, а круглогодичный складской запас составляет свыше 1 000 000 единиц продукции, что гарантирует быструю и надёжную доставку клиентам.",detail_parsed,,2026-08-22T20:40:34Z,mims26-itemf-public-catalog-signo-v1.0.1,itemf_mims26_public_catalog_count_all,2c63b42252e834a81797fdf2f2a5eb1f3d1b49d985eacc91e580cfd877e53f22,source/detail_pages/detail_3df95434-8072-f943-5678-c6aeda299420.html,
MIMS Automobility Санкт-Петербург 2026,25–28 августа 2026,AKKUŞSAN OTOMOTİV SANAYİ VE DIŞ TİCARET LTD.ŞTİ,Akkuşsan Otomoti̇v Sanayi̇ Ve Diş Ti̇caret Ltd.Şti̇,механические автодетали,Турция,,"Турция, 34775, ISTANBUL, Dudullu OSB Mah. IMES san sitesi. A blok. 102 sok. No:5",G161,Павильон G,Стандартные механические детали,,AKKUSSAN; TRANSPART,http://www.akkussan.com.tr,ercu@akkussan.com.tr,+90(216)364-3483,https://online.itemf.ru/info/MIMS26/catalog/2527a6a8-b474-587c-200b-8f009645a846/,2527a6a8-b474-587c-200b-8f009645a846,"AKKUSSAN является ведущим производителем центральной опоры карданного вала, центральных подшипников для легковых автомобилей, легких коммерческих автомобилей и автомобилей 4x4.",detail_parsed,,2026-08-22T20:40:34Z,mims26-itemf-public-catalog-signo-v1.0.1,itemf_mims26_public_catalog_count_all,e989431231349f40d5e1c580ddc06b9c1901d0e46fc96d4eb15c8261f430826e,source/detail_pages/detail_2527a6a8-b474-587c-200b-8f009645a846.html,
