event_name,event_dates,company_name,company_short_name,products,country,city,address,stand,pavilion,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,alpha_filter,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version,short_name_check,products_check,qa_notes,signo_status,repeat_reason,matched_crm_email,matched_crm_domain,matched_crm_company,candidate_emails,candidate_top_domains,source_sheet,source_removed_reason,website_email_status,website_email_source_url,website_email_notes,main email,main_email_reason
РАППА Экспо Осень 2026,21–22 октября 2026,ARCADAGAME,ARCADAGAME,активити-аттракционы и игровые зоны,Россия,Москва,,A8,"ВДНХ, павильон 57",активити,"ARCADAGAME — российский производитель и поставщик игрового и развлекательного оборудования. Компания специализируется на разработке, изготовлении и продаже современных копий легендарных советских и аркадных игровых автоматов. ARCADAGAME сочетает узнаваемый дизайн классических игровых аппаратов с современными техническими решениями, уделяя особое внимание привлекательности оборудования для посетителей. | | Website: arcadagame.ru | E-mail: hello@arcadagame.ru | Тел: +7 (927) 376-13-77",,https://arcadagame.ru,hello@arcadagame.ru,+7 (927) 376-13-77,https://raapa-expo.ru/tproduct/497599382-449942008983-arcadagame,449942008983,keep,"ARCADAGAME | Россия | A8 | активити | ARCADAGAME — российский производитель и поставщик игрового и развлекательного оборудования. Компания специализируется на разработке, изготовлении и продаже современных копий легендарных советских и аркадных игровых автоматов. ARCADAGAME сочетает узнаваемый дизайн классических игровых аппаратов с современными техническими решениями, уделяя особое внимание привлекательности оборудования для посетителей. | | Website: arcadagame.ru | E-mail: hello@arcadagame.ru | Тел: +7 (927) 376-13-77 | inferred_russian_market_from_address_or_phone",parsed,,2026-09-21T05:13:41Z,rappa-expo-autumn-2026-official-tilda-catalog-signo-v1.0.0,ok,ok,Russia/Russian-market row with qualifying public product/category evidence from official catalogue.,new,,,,,hello@arcadagame.ru,arcadagame.ru,official raapa-expo.ru Tilda store catalogue,,catalog_email_present,,public email visible in official catalogue row,hello@arcadagame.ru,public official catalogue/contact email
РАППА Экспо Осень 2026,21–22 октября 2026,ATTRO Надувные аттракционы,ATTRO Надувные аттракционы,водные аттракционы; активити-аттракционы и игровые зоны; надувные аттракционы,Россия,Челябинск,"Россия,; 454000, г. Челябинск; Бейвеля ул., д. 116; Цель компании - создать культуру использования безопасных надувных аттракционов в индустрии развлечений и туризма России. Сделать бизнес на аттракционах прибыльным, а владельцев успешными.",A1,"ВДНХ, павильон 57",водные; активити; надувное,"Россия, | 454000, г. Челябинск | Бейвеля ул., д. 116 | Тел.: 8 800 77 55 134 | E-mail: batut@water-games.ru | Website: www.water-games.ru , www.надувные-батуты-горки.рф | | Компания ATTRO более 15 лет производит и продает аттракционы: надувные батуты и горки, надувные аквапарки и водные горки, различные надувные и водные аттракционы для бизнеса в соответствии с ГОСТ. Изготавливаем надувные батуты под заказ по индивидуальным макетам. | Цель компании - создать культуру использования безопасных надувных аттракционов в индустрии развлечений и туризма России. Сделать бизнес на аттракционах прибыльным, а владельцев успешными. | Миссия компании - делать клиентов богатыми, а детей счастливыми!",,http://www.water-games.ru; http://www.надувные-батуты-горки.рф; https://www.water-games.ru; https://www.надувные-батуты-горки.рф; https://water-games.ru,batut@water-games.ru,8 800 77 55 134,https://raapa-expo.ru/tproduct/497599382-519117980271-attro-naduvnie-attraktsioni,519117980271,keep,"ATTRO Надувные аттракционы | Россия | A1 | водные; активити; надувное | Россия, | 454000, г. Челябинск | Бейвеля ул., д. 116 | Тел.: 8 800 77 55 134 | E-mail: batut@water-games.ru | Website: www.water-games.ru , www.надувные-батуты-горки.рф | | Компания ATTRO более 15 лет производит и продает аттракционы: надувные батуты и горки, надувные аквапарки и водные горки, различные надувные и водные аттракционы для бизнеса в соответствии с ГОСТ. Изготавливаем надувные батуты под заказ по индивидуальным макетам. | Цель компании - создать культуру использования безопасных надувных аттракционов в индустрии развлечений и туризма России. Сделать бизнес на аттракционах прибыльным, а владельцев успешными. | Миссия компании - де | explicit_country",parsed,,2026-09-21T05:13:41Z,rappa-expo-autumn-2026-official-tilda-catalog-signo-v1.0.0,ok,ok,Russia/Russian-market row with qualifying public product/category evidence from official catalogue.,new,,,,,batut@water-games.ru,water-games.ru; надувные-батуты-горки.рф,official raapa-expo.ru Tilda store catalogue,,catalog_email_present,,public email visible in official catalogue row,batut@water-games.ru,public official catalogue/contact email
РАППА Экспо Осень 2026,21–22 октября 2026,Game-Keeper,Game-Keeper,системы контроля и автоматизации парков; сопутствующие товары для парков развлечений,Россия,Москва,"Россия,; 105082, г. Москва,; Большая Почтовая ул., д. 18, оф. 303",L6,"ВДНХ, павильон 57",сертификация и услуги; система контроля; сопутствующие товары,"Россия, | 105082, г. Москва, | Большая Почтовая ул., д. 18, оф. 303 | Тел./факс: +7499 703 42 61 | E-mail: info@game-keeper.com | Website: game-keeper.com | | Game-Keeper – система комплексного программного обеспечения, контроля и управления парков аттракционов любых размеров, игровых зон и развлекательных центров. Аппаратно-программный комплекс Game-keeper установлен и успешно функционирует в более чем 1 000 парках по всему миру. С помощью Game-Keeper можно настраивать гибкую ценовую политику и оплату бонусами с учетом временного периода оказания услуг, организовывать доступ на аттракционы и в зоны развлечений, зоны с использованием тарификации услуг, контролировать движение денежных средств, сегментировать гостей по предпочтениям и событиям и создавать маркетинговые предложения, применяя абонементы, пакеты и купоны, подключать программы лояльности. Рассылать персональные предложения и акции по SMS и e-mail. Начислять бонусы и автоматически изменять уровень гостя, контролировать действия персонала и гостей с использованием систем видеонаблюдения и отчётов.",,http://game-keeper.com; https://game-keeper.com,info@game-keeper.com,+7499 703 42 61,https://raapa-expo.ru/tproduct/497599382-343159180711-game-keeper,343159180711,keep,"Game-Keeper | Россия | L6 | сертификация и услуги; система контроля; сопутствующие товары | Россия, | 105082, г. Москва, | Большая Почтовая ул., д. 18, оф. 303 | Тел./факс: +7499 703 42 61 | E-mail: info@game-keeper.com | Website: game-keeper.com | | Game-Keeper – система комплексного программного обеспечения, контроля и управления парков аттракционов любых размеров, игровых зон и развлекательных центров. Аппаратно-программный комплекс Game-keeper установлен и успешно функционирует в более чем 1 000 парках по всему миру. С помощью Game-Keeper можно настраивать гибкую ценовую политику и оплату бонусами с учетом временного периода оказания услуг, организовывать доступ на аттракционы и в зоны развлечений, зоны с использованием тарифика | explicit_country",parsed,,2026-09-21T05:13:41Z,rappa-expo-autumn-2026-official-tilda-catalog-signo-v1.0.0,ok,ok,Russia/Russian-market row with qualifying public product/category evidence from official catalogue.,new,,,,,info@game-keeper.com,game-keeper.com,official raapa-expo.ru Tilda store catalogue,,catalog_email_present,,public email visible in official catalogue row,info@game-keeper.com,public official catalogue/contact email
РАППА Экспо Осень 2026,21–22 октября 2026,Happy Box,Happy Box,надувные аттракционы,Россия,Москва,"Компания HAPPYBOX26 проектирует и производит надежные стационарные фотобудки, рассчитанные на высокую проходимость и работу в любых условиях — от премиальных интерьеров до открытых городских пространств. Мы создаем автономные фотокомплексы, которые привлекают внимание, дарят людям эмоции и приносят стабильный доход круглый год.",M6,"ВДНХ, павильон 57",надувное,"| Компания HAPPYBOX26 проектирует и производит надежные стационарные фотобудки, рассчитанные на высокую проходимость и работу в любых условиях — от премиальных интерьеров до открытых городских пространств. Мы создаем автономные фотокомплексы, которые привлекают внимание, дарят людям эмоции и приносят стабильный доход круглый год. | Тел.8 928 816 3846 | Website: Happybox26.ru | E-mail: Happybox26@inbox.ru",,https://Happybox26.ru; https://inbox.ru,happybox26@inbox.ru,8 928 816 3846,https://raapa-expo.ru/tproduct/497599382-935503531753-happy-box,935503531753,keep,"Happy Box | Россия | M6 | надувное | | Компания HAPPYBOX26 проектирует и производит надежные стационарные фотобудки, рассчитанные на высокую проходимость и работу в любых условиях — от премиальных интерьеров до открытых городских пространств. Мы создаем автономные фотокомплексы, которые привлекают внимание, дарят людям эмоции и приносят стабильный доход круглый год. | Тел.8 928 816 3846 | Website: Happybox26.ru | E-mail: Happybox26@inbox.ru | inferred_russian_market_from_ru_domain",parsed,,2026-09-21T05:13:41Z,rappa-expo-autumn-2026-official-tilda-catalog-signo-v1.0.0,ok,ok,Russia/Russian-market row with qualifying public product/category evidence from official catalogue.,new,,,,,happybox26@inbox.ru,happybox26.ru,official raapa-expo.ru Tilda store catalogue,,catalog_email_present,,public email visible in official catalogue row,happybox26@inbox.ru,public official catalogue/contact email
РАППА Экспо Осень 2026,21–22 октября 2026,LASERWAR,LASERWAR,активити-аттракционы и игровые зоны; интерактивное развлекательное оборудование,Россия,Смоленск,"Россия,; 214031, г. Смоленск,; Попова ул., д. 40/2",L10,"ВДНХ, павильон 57",активити; интерактивные,"Россия, | 214031, г. Смоленск, | Попова ул., д. 40/2 | Тел.: 8 800 551 88 02; +7 4812 377 000, +7-951-694-01-00 | E-mail: sale@laserwar.ru , info@laserwar.ru , director@laserwar.ru | Website: www.laserwar.ru | | LASERWAR — международный разработчик и производитель технологических решений для индустрии развлечений. С 2008 года объединяет физическую активность, командную игру и цифровые технологии, создавая оборудование, программное обеспечение и готовые бизнес-форматы для лазертаг-клубов. Игровое оборудование LASERWAR экспортируется в 101 страну мира. | Компания разрабатывает и производит: | оборудование для внеаренного, аренного и спортивного лазертага; | игровые комплекты: тагеры, бластеры, повязки и жилеты с датчиками поражения; | интерактивные игровые устройства, мишени и оборудование для сценарных игр; | собственную электронику, оптические системы и комплектующие; | программное обеспечение для настройки оборудования, управления играми и сбора статистики; | мобильные и стационарные игровые поля; | решения для проектирования и оснащения лазертаг-арен под ключ; | многопользовательские VR-игры и программные комплексы для арен свободного перемещения. | VR-направление LASERWAR представлено двумя проектами. AVATAR ARENA — международная сеть семейных VR-арен свободного перемещения с собственной библиотекой многопользовательских игр, технологиями динамического разделения игрового пространства и комплексной поддержкой партнёров. WARSTATION — доступный формат VR-бизнеса для быстрого запуска клубов с командными играми разных жанров. | LASERWAR сопровождает партнёров на всех этапах: от выбора бизнес-формата, оборудования и проектирования пространства до запуска площадки, обучения команды, маркетинга и технической поддержки. | Решения компании предназначены для парков развлечений, семейных и торгово-развлекательных центров, лазертаг и VR-клубов, спортивных, образовательных и корпоративных площадок. | Комплексный подход LASERWAR помогает партнёрам создавать современные игровые пространства, повышать их привлекательность для посетителей и последовательно развивать развлекательный бизнес.",,http://www.laserwar.ru; https://www.laserwar.ru; https://laserwar.ru,sale@laserwar.ru; info@laserwar.ru; director@laserwar.ru,8 800 551 88 02; +7 4812 377 000; +7-951-694-01-00,https://raapa-expo.ru/tproduct/497599382-170668026501-laserwar,170668026501,keep,"LASERWAR | Россия | L10 | активити; интерактивные | Россия, | 214031, г. Смоленск, | Попова ул., д. 40/2 | Тел.: 8 800 551 88 02; +7 4812 377 000, +7-951-694-01-00 | E-mail: sale@laserwar.ru , info@laserwar.ru , director@laserwar.ru | Website: www.laserwar.ru | | LASERWAR — международный разработчик и производитель технологических решений для индустрии развлечений. С 2008 года объединяет физическую активность, командную игру и цифровые технологии, создавая оборудование, программное обеспечение и готовые бизнес-форматы для лазертаг-клубов. Игровое оборудование LASERWAR экспортируется в 101 страну мира. | Компания разрабатывает и производит: | оборудование для внеаренного, аренного и спортивного | explicit_country",parsed,,2026-09-21T05:13:41Z,rappa-expo-autumn-2026-official-tilda-catalog-signo-v1.0.0,ok,ok,Russia/Russian-market row with qualifying public product/category evidence from official catalogue.,repeat,exact normalized email matched current Twenty repeat index,director@laserwar.ru,,Lazerwar,sale@laserwar.ru; info@laserwar.ru; director@laserwar.ru,laserwar.ru,official raapa-expo.ru Tilda store catalogue,,catalog_email_present,,public email visible in official catalogue row,sale@laserwar.ru,public official catalogue/contact email
РАППА Экспо Осень 2026,21–22 октября 2026,LSD Electronics,LSD Electronics,активити-аттракционы и игровые зоны; интерактивное развлекательное оборудование,Россия,Москва,"Россия,; 440013, Пенза,; ул. Дружбы, д. 6, офис 206",A6,"ВДНХ, павильон 57",активити; интерактивные,"Россия, | 440013, Пенза, | ул. Дружбы, д. 6, офис 206 | Тел.: 8 800 700 3544 | Email: clients@lasertaglsd.ru | Website: www.lasertaglsd.ru , www.lasertaglsd.com | | Компания ЛСД ЭЛЕКТРОНИКС является одним из ведущих производителей лазертаг оборудования в России и странах СНГ. Мы охватываем все актуальные сегменты лазертаг рынка и предлагаем решения для любого типа бизнеса, начиная от небольших зон аренного лазертага, спортивных соревнований и турниров, заканчивая военно-патриотическими клубами, полигонами и сценарными играми на несколько сотен человек! Мы предлагаем уникальные решения для старта бизнеса с нуля, расширения возможностей и обустройства вашей площадки за счет надувных фигур. А дополнительное оборудование и программное обеспечение от нашей компании позволит вам проводить множество уникальных сценариев.",,http://www.lasertaglsd.ru; http://www.lasertaglsd.com; https://www.lasertaglsd.ru; https://www.lasertaglsd.com; https://lasertaglsd.ru,clients@lasertaglsd.ru,8 800 700 3544,https://raapa-expo.ru/tproduct/497599382-772745916511-lsd-electronics,772745916511,keep,"LSD Electronics | Россия | A6 | активити; интерактивные | Россия, | 440013, Пенза, | ул. Дружбы, д. 6, офис 206 | Тел.: 8 800 700 3544 | Email: clients@lasertaglsd.ru | Website: www.lasertaglsd.ru , www.lasertaglsd.com | | Компания ЛСД ЭЛЕКТРОНИКС является одним из ведущих производителей лазертаг оборудования в России и странах СНГ. Мы охватываем все актуальные сегменты лазертаг рынка и предлагаем решения для любого типа бизнеса, начиная от небольших зон аренного лазертага, спортивных соревнований и турниров, заканчивая военно-патриотическими клубами, полигонами и сценарными играми на несколько сотен человек! Мы предлагаем уникальные решения для старта бизнеса с нуля, расширения возможностей и обуст | explicit_country",parsed,,2026-09-21T05:13:41Z,rappa-expo-autumn-2026-official-tilda-catalog-signo-v1.0.0,ok,ok,Russia/Russian-market row with qualifying public product/category evidence from official catalogue.,new,,,,,clients@lasertaglsd.ru,lasertaglsd.ru; lasertaglsd.com,official raapa-expo.ru Tilda store catalogue,,catalog_email_present,,public email visible in official catalogue row,clients@lasertaglsd.ru,public official catalogue/contact email
РАППА Экспо Осень 2026,21–22 октября 2026,LabClub,LabClub,активити-аттракционы и игровые зоны,Россия,Краснодар,"Россия,; 350000, г. Краснодар, Новороссийская ул., д.55/1","E2/4, M3","ВДНХ, павильон 57",активити,"Россия, | 350000, г. Краснодар, Новороссийская ул., д.55/1 | Тел.: +78612130650 | E-mail: viplabclub@mail.ru | Website: www.viplabclub.ru | | LabClub- производитель мобильных лабиринтов и стационарных собратьев. Наша компания 15 лет работает в индустрии развлечений, мы знаем как сделать аттракцион желанным для детей и их родителей. В наших проектах мы используем только яркие и современные дизайнерские решения. Кроме того, мы предлагаем весь комплекс проектирования и визуализации проектов, а также монтаж, обслуживание и ремонт.",,http://www.viplabclub.ru; https://www.viplabclub.ru; https://mail.ru,viplabclub@mail.ru,+78612130650,https://raapa-expo.ru/tproduct/497599382-681351540681-labclub,681351540681,keep,"LabClub | Россия | E2/4, M3 | активити | Россия, | 350000, г. Краснодар, Новороссийская ул., д.55/1 | Тел.: +78612130650 | E-mail: viplabclub@mail.ru | Website: www.viplabclub.ru | | LabClub- производитель мобильных лабиринтов и стационарных собратьев. Наша компания 15 лет работает в индустрии развлечений, мы знаем как сделать аттракцион желанным для детей и их родителей. В наших проектах мы используем только яркие и современные дизайнерские решения. Кроме того, мы предлагаем весь комплекс проектирования и визуализации проектов, а также монтаж, обслуживание и ремонт. | explicit_country",parsed,,2026-09-21T05:13:41Z,rappa-expo-autumn-2026-official-tilda-catalog-signo-v1.0.0,ok,ok,Russia/Russian-market row with qualifying public product/category evidence from official catalogue.,new,,,,,viplabclub@mail.ru,viplabclub.ru,official raapa-expo.ru Tilda store catalogue,,catalog_email_present,,public email visible in official catalogue row,viplabclub@mail.ru,public official catalogue/contact email
РАППА Экспо Осень 2026,21–22 октября 2026,Level 1UP,Level 1UP,парковые аттракционы,Россия,Москва,,A7,"ВДНХ, павильон 57",аттракционы,Level1up.ru,,https://Level1up.ru,,,https://raapa-expo.ru/tproduct/497599382-381697726053-level-1up,381697726053,keep,Level 1UP | Россия | A7 | аттракционы | Level1up.ru | inferred_russian_market_from_ru_domain,parsed,,2026-09-21T05:13:41Z,rappa-expo-autumn-2026-official-tilda-catalog-signo-v1.0.0,ok,ok,Russia/Russian-market row with qualifying public product/category evidence from official catalogue.,new,,,,,,level1up.ru,official raapa-expo.ru Tilda store catalogue,,not_found,,no usable email found on sampled public pages,,no public email
РАППА Экспо Осень 2026,21–22 октября 2026,Mobil Lab,Mobil Lab,парковые аттракционы,Россия,Пятигорск,"Россия,; г. Пятигорск,; Бештаугорское шоссе, 18а",M2,"ВДНХ, павильон 57",аттракционы,"| Россия, | г. Пятигорск, | Бештаугорское шоссе, 18а | Тел.: 8 995 106 1006 | E-mail: 89200017001@mail.ru | Website: moblabirint.ru | | Мы – команда Mobil Lab, производим надежное оборудование для разных развлекательных локаций: | - детских центров | - активити-парков | - батутных арен | - всесезонных горок | - мобильных лабиринтов | | Также воплощаем в жизнь и другое детское игровое оборудование для парков, ресторанов и других пространств. | Знаем, что актуально для детей и пользуется бОльшим спросом, потому что сами работаем на оборудовании - остаемся всегда в тренде. | | Немного цифр: | 10 лет на рынке – начинали строить и эксплуатировать оборудование на себе. | Многолетний опыт=проверенное качество материалов, ответственность и предложение актуальных решений для клиентов | Последние 5 лет активно воплощаем любые идеи и дизайны заказчиков, подбираем оборудование индивидуально для каждого – под ваш бюджет и потребности | | Mobil Lab предлагает: | -надежность – вся продукция сертифицирована, выдаем полный пакет документов | -широкую географию – работаем по всей России и со странами СНГ | -легкость - с нами можно быстро договориться, даем варианты на выбор, учитываем пожелания | -длительную гарантию | помощь в решении любых вопросов | -быстрый выход на стабильный заработок с помощью нашего оборудования | | Поможем открыть перспективный бизнес, который будет радовать вас долгие годы! | | | | |",,https://moblabirint.ru; https://mail.ru,89200017001@mail.ru,8 995 106 1006; 89200017001,https://raapa-expo.ru/tproduct/497599382-730473985271-mobil-lab,730473985271,keep,"Mobil Lab | Россия | M2 | аттракционы | | Россия, | г. Пятигорск, | Бештаугорское шоссе, 18а | Тел.: 8 995 106 1006 | E-mail: 89200017001@mail.ru | Website: moblabirint.ru | | Мы – команда Mobil Lab, производим надежное оборудование для разных развлекательных локаций: | - детских центров | - активити-парков | - батутных арен | - всесезонных горок | - мобильных лабиринтов | | Также воплощаем в жизнь и другое детское игровое оборудование для парков, ресторанов и других пространств. | Знаем, что актуально для детей и пользуется бОльшим спросом, потому что сами работаем на оборудовании - остаемся всегда в тренде. | | Немного цифр: | 10 лет на рынке – начинали строить и эксплуатировать | explicit_country",parsed,,2026-09-21T05:13:41Z,rappa-expo-autumn-2026-official-tilda-catalog-signo-v1.0.0,ok,ok,Russia/Russian-market row with qualifying public product/category evidence from official catalogue.,new,,,,,89200017001@mail.ru,moblabirint.ru,official raapa-expo.ru Tilda store catalogue,,catalog_email_present,,public email visible in official catalogue row,89200017001@mail.ru,public official catalogue/contact email
РАППА Экспо Осень 2026,21–22 октября 2026,Starry Childhood,Starry Childhood,тематизация и декор развлекательных зон; активити-аттракционы и игровые зоны; парковые аттракционы; интерактивное развлекательное оборудование,Россия,Москва,,B1,"ВДНХ, павильон 57",тематизация и декор; активити; аттракционы; интерактивные,www.kidstar.su | | Детское игровое и сенсорное оборудование,,https://www.kidstar.su/; https://www.kidstar.su,,,https://raapa-expo.ru/tproduct/497599382-691271981631-starry-childhood,691271981631,keep,Starry Childhood | Россия | B1 | тематизация и декор; активити; аттракционы; интерактивные | www.kidstar.su | | Детское игровое и сенсорное оборудование | inferred_russian_market_from_ru_domain,parsed,,2026-09-21T05:13:41Z,rappa-expo-autumn-2026-official-tilda-catalog-signo-v1.0.0,ok,ok,Russia/Russian-market row with qualifying public product/category evidence from official catalogue.,repeat,company-owned domain matched current Twenty repeat index,,kidstar.su,Звездное детство,,kidstar.su,official raapa-expo.ru Tilda store catalogue,,not_found,,no usable email found on sampled public pages,,no public email
