event_name,event_subtitle,description,exhibited_products,parser_notes,date_start,date_end,date_range_display,city,venue_name,venue_address,themes,tags,member_count,visitor_count,expomap_url,external_url,canceled,status,parse_status,missing_fields,source_page
Смоук на Проде,Смоук на Проде,,Смоук на Проде,,2026-01-01T00:00:00,2026-01-31T23:59:59.999999,2026-01-01T00:00:00 — 2026-01-31T23:59:59.999999,Москва,КВЦ «Сокольники»,"5-y Luchevoy prosek, 7 строение 1, Moscow, Russia, 107014",IT и цифровые технологии,Call-центры; Android; BlackBerry; AR/VR/MR; 5G,,,https://expomap.ru/expo/smouk-na-prode/,,yes,canceled,ok,,1
Контактные каникулы 2026,Фестиваль по контактной импровизации,,"Утренняя соматическая настройка<br />
Интенсив по контактной импровизации с известным учителем<br />
Дневные классы и лаборатории<br />
Вечерние джемы<br />
Особая детско-родительская программа<br />
Волшебный рождественский вечер<br />
Баня",,2026-01-03T00:00:00,2026-01-09T23:59:59.999999,2026-01-03T00:00:00 — 2026-01-09T23:59:59.999999,Москва,,,"Развлечения, шоу-бизнес и СМИ; Товары для дома",Новогодние подарки и украшения; Развлекательное оборудование; Подарки и сувениры,,,https://expomap.ru/expo/kontaktnye-kanikuly/,,no,active,ok,venue_address; venue_name,1
Бал Кукол в Москве 2026,Выставка-продажа авторских кукол и игрушек,,"Авторские куклы<br />
Мишки тедди<br />
Товары для создания кукол<br />
Тематическая литература<br />
Мастер-классы по созданию кукол",,2026-01-04T00:00:00,2026-01-06T23:59:59.999999,2026-01-04T00:00:00 — 2026-01-06T23:59:59.999999,Москва,,,Детские товары; Товары для дома,Изделия ручной работы; Подарки и сувениры; Игрушки и игры; Товары для детей,,,https://expomap.ru/expo/bal-kukol-v-moskve/,,no,active,ok,venue_address; venue_name,1
Sport Casual Moscow 2026,"Выставка-презентация спортивной, повседневной и туристической одежды, обуви, аксессуаров и оборудования",,"Высокотехнологичная одежда и обувь для экстремальных видов спорта и активного отдыха<br />
Функциональная верхняя одежда для всей семьи<br />
Спортивная одежда<br />
Одежда для фитнеса, плавания и танцев<br />
Экипировка для спортивных команд<br />
Одежда и обувь для единоборств<br />
Повседневная одежда и обувь, джинсы<br />
Головные уборы, перчатки, носки, термобелье<br />
Палатки, спальные мешки, рюкзаки и сумки",,2026-01-19T00:00:00,2026-01-21T23:59:59.999999,2026-01-19T00:00:00 — 2026-01-21T23:59:59.999999,Москва,,,Мода и стиль; Туризм и отдых,Обувь; Спортинвентарь; Туризм; Спортивная одежда; Активный отдых; Экстремальный спорт; Спортивные товары; Аксессуары; Спортивное оборудование; Женская и мужская одежда,,,https://expomap.ru/expo/sport-casual-moscow/,,no,active,ok,venue_address; venue_name,1
SAM Expo 2026,Специализированная выставка по эстетической медицине,,"Оборудование для пластической хирургии, косметологии и физиотерапии<br />
Медицинские лазерные системы<br />
Аппараты для коррекции фигуры<br />
Инструменты для пластической хирургии<br />
Препараты для мезотерапии, контурной пластики и пилингов<br />
Препараты ботулинического токсина<br />
Косметические средства коррекции инволюционных изменений кожи<br />
Шовные и расходные материалы<br />
Имплантаты для пластической хирургии<br />
Препараты для пред- и послеоперационного ухода<br />
Фармацевтические препараты и БАДы<br />
Биологическое питание<br />
Диетическое питание<br />
Специализированная пресса",,2026-01-21T00:00:00,2026-01-23T23:59:59.999999,2026-01-21T00:00:00 — 2026-01-23T23:59:59.999999,Москва,Центр международной торговли Москвы (ЦМТ),"Краснопресненская набережная, 12, Москва, Россия, 123610",Здравоохранение и медицина,Медицина; Здоровье; Медицинское оборудование; Гигиена; Косметология; Эстетическая медицина; Биомедицина; Медицинская техника,,,https://expomap.ru/expo/sam-expo/,,no,active,ok,,1
iAGRI 2026,Международная выставка инноваций и высоких технологий для АПК,,,,2026-01-21T00:00:00,2026-01-23T23:59:59.999999,2026-01-21T00:00:00 — 2026-01-23T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Животные. Ветеринария.; Наука и инновации; Сельское хозяйство; IT и цифровые технологии,АПК; Искусственный интеллект; Агробизнес; Передовые технологии; Бизнес; Агроинформатика; Агропром; ИТ-инфраструктура,,,https://expomap.ru/expo/iagri/2026/jan/,,no,active,ok,,1
AGRAVIA 2026  (ранее AGROS / AGROTECH),Международная выставка технологий производства и переработки для профессионалов АПК,,,,2026-01-21T00:00:00,2026-01-23T23:59:59.999999,2026-01-21T00:00:00 — 2026-01-23T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Животные. Ветеринария.; Сельское хозяйство,АПК; Животноводство; Сельскохозяйственное оборудование; Агробизнес; Передовые технологии; Сельское хозяйство; Агрохимия; Сельскохозяйственная продукция; Агропром,,,https://expomap.ru/expo/agravia/2026/,,no,active,ok,,1
Симфония самоцветов 2026,Ювелирно-минералогическая выставка-ярмарка,,"Ювелирные изделия из золота, серебра и сплавов<br />
Авторские украшения<br />
Предметы интерьера<br />
Брендовая бижутерия<br />
Малая пластика из янтаря<br />
Жемчуг<br />
Драгоценные и полудрагоценные камни и изделия из них<br />
Коллекционные минералы и кристаллы",,2026-01-23T00:00:00,2026-01-25T23:59:59.999999,2026-01-23T00:00:00 — 2026-01-25T23:59:59.999999,Москва,,,Ювелирное искусство,Ювелирные аксессуары; Драгоценные металлы; Бижутерия; Ювелирные изделия; Драгоценные камни,,,https://expomap.ru/expo/simfonija-samotsvetov/,,no,active,ok,venue_address; venue_name,1
Уникальная Россия 2026,Художественно-промышленная выставка-форум,,"Живопись<br />
Ювелирное искусство<br />
Скульптура<br />
Архитектура<br />
Народные художественные промыслы<br />
Декоративно-прикладное искусство<br />
Историко-музейная экспозиция<br />
Церковное искусство<br />
Художественная фотография<br />
Антиквариат",,2026-01-23T00:00:00,2026-02-08T23:59:59.999999,2026-01-23T00:00:00 — 2026-02-08T23:59:59.999999,Москва,ВК «Гостиный Двор»,"ulitsa Ilyinka, 4, Moscow, Russia, 101000",Культура и искусство,Антиквариат; Художественные изделия; Народные промыслы; Предметы старины; Предметы искусства,,,https://expomap.ru/expo/unikalnaja-rossija/,,no,active,ok,,1
RECYCLING SOLUTIONS 2026,Выставка по переработке и утилизации отходов,,"Оборудование и машины для обращения с отходами и вторичной переработки полимеров и каучуков<br />
Сортировочное оборудование<br />
Измельчители, шредеры, дробилки<br />
Грануляция и компаундирование вторичных полимеров<br />
Моечное и сушильное оборудование<br />
Водоподготовка и системы очистки воды<br />
Агломераторы и пласткомпакторы<br />
Транспортировка и хранение<br />
Прочее оборудование для переработки отходов и производства изделий из вторсырья<br />
Вторичное полимерное сырье, специальные добавки и наполнители",,2026-01-27T00:00:00,2026-01-30T23:59:59.999999,2026-01-27T00:00:00 — 2026-01-30T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464","Машиностроение, автоматизация, робототехника; Промышленность; Химическая промышленность; Экология и переработка",Переработка и утилизация; Химическая промышленность; Переработка отходов; Химическая промышленность; Ресурсосбережение; Пластмассы и каучук,1000,33000,https://expomap.ru/expo/recycling-solutions/2026/jan/,,no,active,ok,,1
